elapsedDistance,engineSpeed,torque,brakePosition
69.5,2496.091646,79.47233148,0.0
70.0,2507.280385,79.12212394,0.0
70.5,2518.39561,78.77421742,0.0
71.0,2529.438342,78.42857989,0.0
71.5,2540.409581,78.0851801,0.0
72.0,2551.310302,77.74398754,0.0
72.5,2562.141458,77.40497237,0.0
73.0,2572.903978,77.06810549,0.0
73.5,2583.598772,76.73335842,0.0
74.0,2594.22673,76.40070335,0.0
74.5,2604.788719,76.07011308,0.0
75.0,2615.285591,75.74156101,0.0
75.5,2625.718174,75.41502114,0.0
76.0,2636.087284,75.09046802,0.0
76.5,2646.393714,74.76787674,0.0
77.0,2633.749598,75.16363758,100.0
77.5,2615.429765,75.73704834,0.0
78.0,2612.413243,75.8314655,0.0
78.5,2609.809728,75.91295552,0.0
79.0,2607.480884,75.98584833,0.0
79.5,2605.364009,76.05210653,0.0
80.0,2603.42104,76.11292144,0.0
80.5,2601.625771,76.16911338,0.0
81.0,2599.958787,76.22128996,0.0
81.5,2598.405006,76.2699233,0.0
82.0,2596.952301,76.31539298,0.0
82.5,2595.590671,76.35801201,0.0
83.0,2594.311704,76.39804367,0.0
83.5,2593.108214,76.43571292,0.0
84.0,2591.97398,76.47121443,0.0
84.5,2590.903561,76.50471853,0.0
85.0,2589.892156,76.53637553,0.0
85.5,2588.935491,76.56631913,0.0
86.0,2588.029742,76.59466906,0.0
86.5,2587.171465,76.62153314,0.0
87.0,2586.357541,76.64700896,0.0
87.5,2585.585136,76.67118525,0.0
88.0,2584.851661,76.69414301,0.0
88.5,2584.154746,76.71595646,0.0
89.0,2583.492211,76.7366938,0.0
89.5,2582.862048,76.75641788,0.0
90.0,2582.262402,76.77518682,0.0
90.5,2592.898686,76.44227113,0.0
91.0,2603.468894,76.11142361,0.0
91.5,2613.973879,75.78261759,0.0
92.0,2624.414473,75.455827,0.0
92.5,2634.791492,75.13102631,0.0
93.0,2645.105733,74.80819056,0.0
93.5,2655.357977,74.48729532,0.0
94.0,2665.548988,74.16831668,0.0
94.5,2675.679514,73.85123122,0.0
95.0,2685.750287,73.53601602,0.0
95.5,2695.762025,73.22264862,0.0
96.0,2705.71543,72.91110704,0.0
96.5,2715.611191,72.60136972,0.0
97.0,2725.449982,72.29341556,0.0
97.5,2735.232465,71.98722385,0.0
98.0,2744.959287,71.68277432,0.0
98.5,2754.631084,71.38004707,0.0
99.0,2764.248479,71.07902261,0.0
99.5,2773.812083,70.7796818,0.0
100.0,2783.322496,70.48200589,0.0
100.5,2792.780304,70.18597647,0.0
101.0,2802.186087,69.89157549,0.0
101.5,2811.540408,69.59878522,0.0
102.0,2820.843825,69.30758827,0.0
102.5,2825.684707,69.15606866,0.0
103.0,2830.469246,69.00631261,0.0
103.5,2835.197917,68.85830518,0.0
104.0,2839.871197,68.71203154,0.0
104.5,2844.489554,68.56747696,0.0
105.0,2849.053457,68.42462681,0.0
105.5,2853.563369,68.28346656,0.0
106.0,2858.019751,68.14398179,0.0
106.5,2862.423062,68.00615816,0.0
107.0,2866.773756,67.86998145,0.0
107.5,2871.072285,67.73543749,0.0
108.0,2875.319098,67.60251223,0.0
108.5,2879.514642,67.47119171,0.0
109.0,2883.65936,67.34146203,0.0
109.5,2887.753694,67.21330939,0.0
110.0,2891.798081,67.08672007,0.0
110.5,2895.792958,66.96168042,0.0
111.0,2899.738757,66.83817689,0.0
111.5,2903.635911,66.71619599,0.0
112.0,2909.975235,66.51777514,0.0
112.5,2918.758898,66.24284649,0.0
113.0,2927.497538,65.96932706,0.0
113.5,2936.191598,65.69720299,0.0
114.0,2944.841512,65.42646068,0.0
114.5,2953.447709,65.15708672,0.0
115.0,2962.010609,64.88906793,0.0
115.5,2970.530628,64.62239135,0.0
116.0,2979.008171,64.35704424,0.0
116.5,2987.443641,64.09301403,0.0
117.0,2995.837431,63.8302884,0.0
117.5,3004.189931,63.63296111,0.0
118.0,3012.501521,63.49997567,0.0
118.5,3020.772578,63.36763875,0.0
119.0,3029.003472,63.23594444,0.0
119.5,3037.194569,63.1048869,0.0
120.0,3045.346226,62.97446038,0.0
120.5,3053.458798,62.84465923,0.0
121.0,3061.532632,62.71547788,0.0
121.5,3069.568072,62.58691084,0.0
122.0,3077.565456,62.45895271,0.0
122.5,3085.525115,62.33159816,0.0
123.0,3093.447379,62.20484194,0.0
123.5,3101.332569,62.07867889,0.0
124.0,3109.181006,61.95310391,0.0
124.5,3116.993002,61.82811197,0.0
125.0,3124.768866,61.70369814,0.0
125.5,3132.508904,61.57985753,0.0
126.0,3140.213417,61.45658534,0.0
126.5,3147.882699,61.33387681,0.0
127.0,3155.517045,61.21172729,0.0
127.5,3163.116741,61.09013215,0.0
128.0,3170.682072,60.96908685,0.0
128.5,3178.213318,60.84858692,0.0
129.0,3185.710755,60.72862792,0.0
129.5,3193.174656,60.6092055,0.0
130.0,3200.605291,60.49031535,0.0
130.5,3208.002923,60.37195323,0.0
131.0,3215.367816,60.25411495,0.0
131.5,3222.700226,60.13679638,0.0
132.0,3230.00041,60.01999343,0.0
132.5,3237.268619,59.90370209,0.0
133.0,3244.505101,59.78791839,0.0
133.5,3251.7101,59.67263839,0.0
134.0,3258.88386,59.55785824,0.0
134.5,3266.026618,59.44357411,0.0
135.0,3273.13861,59.32978223,0.0
135.5,3280.22007,59.21647888,0.0
136.0,3287.271226,59.10366038,0.0
136.5,3294.292306,58.9913231,0.0
137.0,3301.283534,58.87946345,0.0
137.5,3308.245131,58.7680779,0.0
138.0,3315.177316,58.65716294,0.0
138.5,3322.080305,58.54671513,0.0
139.0,3328.95431,58.43673104,0.0
139.5,3335.799542,58.32720732,0.0
140.0,3342.616211,58.21814063,0.0
140.5,3349.40452,58.10952767,0.0
141.0,3356.164674,58.00136521,0.0
141.5,3362.896873,57.89365003,0.0
142.0,3369.601316,57.78637895,0.0
142.5,3376.278198,57.67954883,0.0
143.0,3382.927713,57.57315659,0.0
143.5,3389.550053,57.46719915,0.0
144.0,3396.145407,57.36167348,0.0
144.5,3402.713963,57.2565766,0.0
145.0,3409.255904,57.15190554,0.0
145.5,3415.771414,57.04765738,0.0
146.0,3422.260674,56.94382922,0.0
146.5,3428.723862,56.84041822,0.0
147.0,3435.161155,56.73742153,0.0
147.5,3441.572727,56.63483636,0.0
148.0,3447.958753,56.53265996,0.0
148.5,3454.319402,56.43088958,0.0
149.0,3460.654843,56.32952252,0.0
149.5,3466.965243,56.2285561,0.0
150.0,3473.250769,56.1279877,0.0
150.5,3479.511583,56.02781467,0.0
151.0,3485.747847,55.92803445,0.0
151.5,3491.959721,55.82864446,0.0
152.0,3498.147364,55.72964217,0.0
152.5,3504.310932,55.63102509,0.0
153.0,3510.45058,55.53279073,0.0
153.5,3516.566461,55.43493663,0.0
154.0,3522.658727,55.33746037,0.0
154.5,3528.727528,55.24035955,0.0
155.0,3534.773013,55.14363179,0.0
155.5,3540.795329,55.04727474,0.0
156.0,3546.794621,54.95128607,0.0
156.5,3552.771033,54.85566347,0.0
157.0,3558.724708,54.76040468,0.0
157.5,3564.655787,54.66550741,0.0
158.0,3570.564409,54.57096946,0.0
158.5,3576.450713,54.47678859,0.0
159.0,3582.314836,54.38296262,0.0
159.5,3588.156913,54.28948939,0.0
160.0,3593.977078,54.19636675,0.0
160.5,3599.775465,54.10359257,0.0
161.0,3605.552204,54.01116474,0.0
161.5,3611.307426,53.91908119,0.0
162.0,3617.041259,53.82733985,0.0
162.5,3622.753833,53.73593868,0.0
163.0,3628.445272,53.64487565,0.0
163.5,3634.115702,53.55414876,0.0
164.0,3639.765248,53.46375603,0.0
164.5,3645.394032,53.37369549,0.0
165.0,3651.002175,53.2839652,0.0
165.5,3656.589799,53.19456321,0.0
166.0,3662.157023,53.10548764,0.0
166.5,3667.703964,53.01673657,0.0
167.0,3673.230741,52.92830815,0.0
167.5,3678.737469,52.8402005,0.0
168.0,3684.224263,52.7524118,0.0
168.5,3689.691237,52.66494021,0.0
169.0,3695.138504,52.57778394,0.0
169.5,3700.566176,52.49094118,0.0
170.0,3705.974364,52.40441018,0.0
170.5,3711.363177,52.31818917,0.0
171.0,3716.732724,52.23227642,0.0
171.5,3722.083113,52.14667019,0.0
172.0,3727.414452,52.06136877,0.0
172.5,3732.726845,51.97637048,0.0
173.0,3738.020398,51.89167363,0.0
173.5,3743.295215,51.80727656,0.0
174.0,3748.551399,51.72317762,0.0
174.5,3753.789052,51.63937517,0.0
175.0,3759.008276,51.55586759,0.0
175.5,3743.590123,51.80255803,100.0
176.0,3725.964787,52.08456341,28.14433583
176.5,3715.395469,52.2536725,29.96720233
177.0,3704.451448,52.42877683,31.72757553
177.5,3693.142463,52.60972058,33.4326647
178.0,3681.476844,52.79637049,35.08818189
178.5,3669.461785,52.98861144,36.69873822
179.0,3657.103548,53.18634324,38.26811493
179.5,3644.407614,53.38947818,39.79945456
180.0,3631.378805,53.59793911,41.29539913
180.5,3618.021374,53.81165802,42.75819237
181.0,3604.339076,54.03057478,44.18975663
181.5,3590.335234,54.25463626,45.59175187
182.0,3576.01278,54.48379553,46.96562152
182.5,3561.374299,54.71801122,48.31262858
183.0,3546.422061,54.95724703,49.63388448
183.5,3531.158046,55.20147127,50.93037226
184.0,3515.583968,55.45065651,52.2029655
184.5,3499.701295,55.70477928,53.45244385
185.0,3483.511261,55.96381982,54.67950589
185.5,3467.014885,56.22776184,55.88477985
186.0,3450.212974,56.49659241,57.06883262
186.5,3433.10614,56.77030176,58.23217738
187.0,3415.694803,57.04888315,59.37528008
187.5,3397.979196,57.33233286,60.49856498
188.0,3379.959374,57.62065002,61.60241943
188.5,3361.635213,57.91383659,62.68719797
189.0,3343.006415,58.21189736,63.75322588
189.5,3324.07251,58.51483985,64.80080236
190.0,3304.832853,58.82267436,65.8302032
190.5,3285.286628,59.13541395,66.84168316
191.0,3265.432846,59.45307446,67.83547814
191.5,3245.270341,59.77567455,68.81180698
192.0,3224.797769,60.1032357,69.77087314
192.5,3204.013605,60.43578233,70.71286618
193.0,3182.916138,60.77334179,71.63796307
193.5,3161.503468,61.11594451,72.54632932
194.0,3139.773499,61.46362402,73.43812009
194.5,3126.639735,61.67376425,0.0
195.0,3122.657949,61.73747281,0.0
195.5,3119.30711,61.79108624,0.0
196.0,3116.240604,61.84015034,0.0
196.5,3113.387054,61.88580713,0.0
197.0,3110.70745,61.9286808,0.0
197.5,3108.176215,61.96918056,0.0
198.0,3105.774924,62.00760122,0.0
198.5,3103.489493,62.04416811,0.0
199.0,3101.30872,62.07906048,0.0
199.5,3099.223421,62.11242527,0.0
200.0,3097.225899,62.14438562,0.0
200.5,3095.309586,62.17504662,0.0
201.0,3093.468797,62.20449924,0.0
201.5,3091.698551,62.23282318,0.0
202.0,3089.994441,62.26008895,0.0
202.5,3088.352533,62.28635947,0.0
203.0,3086.769293,62.31169131,0.0
203.5,3085.241522,62.33613564,0.0
204.0,3083.766311,62.35973903,0.0
204.5,3082.340999,62.38254402,0.0
205.0,3080.963142,62.40458972,0.0
205.5,3079.63049,62.42591216,0.0
206.0,3078.340958,62.44654467,0.0
206.5,3077.092613,62.4665182,0.0
207.0,3075.883653,62.48586155,0.0
207.5,3074.712398,62.50460163,0.0
