speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N
56.51491158,0.385465264,6,0,-14.91568936,1,4.2,3101.595702,123.7489375,40.19344978,11.82938974,212.9290154,34.75274874,0,100,0,1,0,1.7,1.4,0,0,0,0.707836721,-6.315005201,0,2228.88939
55.64644946,0.401898862,6.25,0,-14.88474575,1,4.2,3053.93362,125.2741242,40.06356448,11.46861977,206.4351558,34.44444931,0,100,0,1,0,1.7,1.4,0,0,0,0.737287564,-6.5787821,0,2228.52862
54.76585374,0.418604969,6.5,0,-14.85385863,1,4.2,3005.605633,126.8206197,39.91631904,11.10851384,199.9532491,34.13554546,0,100,0,1,0,1.7,1.4,0,0,0,0.766738407,-6.842558998,0,2228.168514
53.87251316,0.435597077,6.75,0,-14.82302742,1,4.2,2956.578195,129.3013556,40.03327002,10.74906546,193.4831783,33.826022,0,100,0,1,0,1.7,1.4,0,0,0,0.79618925,-7.106335897,0,2227.809065
52.96576503,0.452889842,7,0,-14.79225146,1,4.2,2906.814937,131.9388083,40.16229839,10.39026765,187.0248176,33.51586396,0,100,0,1,0,1.7,1.4,0,0,0,0.825640093,-7.370112795,0,2227.450268
52.04488892,0.47049923,7.25,0,-14.76153005,1,4.2,2856.276322,134.6173549,40.26520278,10.03211282,180.5780308,33.20505662,0,100,0,1,0,1.7,1.4,0,0,0,0.855090936,-7.633889693,0,2227.092113
51.10909944,0.488442695,7.5,0,-14.73086241,1,4.2,2804.919246,137.33928,40.34072941,9.674592762,174.1426697,32.89358549,0,100,0,1,0,1.7,1.4,0,0,0,0.884541779,-7.897666592,0,2226.734593
50.15753769,0.506739372,7.75,0,-14.70024769,1,4.2,2752.696572,140.1070817,40.38750708,9.317698473,167.7185725,32.58143626,0,100,0,1,0,1.7,1.4,0,0,0,0.913992621,-8.16144349,0,2226.377698
49.18926126,0.525410319,8,0,-14.66968496,1,4.2,2699.556578,142.9235014,40.40403131,8.961420086,161.3055616,32.26859485,0,100,0,1,0,1.7,1.4,0,0,0,0.943443464,-8.425220389,0,2226.02142
48.20323238,0.5444788,8.25,0,-14.63917318,1,4.2,2645.442312,145.7915574,40.38864553,8.60574671,154.9034408,31.95504733,0,100,0,1,0,1.7,1.4,0,-1.999096911,-10.97858449,0.972894307,-8.688997287,0,2225.665747
