Elapsed Time,C-rate,Voltage,Change in Ahr,SoC,Offset SoC
94.977,0.499703,3.48598,7.47882,-1.442826,-0.212743
96.077,0.500168,3.4876,7.479722,-1.427545,-0.197462
97.177,0.500302,3.48922,7.480623,-1.412264,-0.182181
98.277,0.499766,3.49084,7.481524,-1.396995,-0.166912
99.377,0.501302,3.49213,7.482426,-1.38172,-0.151637
100.477,0.499436,3.49342,7.483327,-1.366439,-0.136356
101.577,0.499768,3.49504,7.484228,-1.351177,-0.121094
102.677,0.5009,3.49666,7.485128,-1.335907,-0.105824
103.777,0.500102,3.49795,7.486029,-1.320637,-0.090554
104.877,0.500566,3.49957,7.486931,-1.305359,-0.075276
105.977,0.499834,3.50086,7.487832,-1.290079,-0.059996
107.077,0.499034,3.50216,7.488733,-1.274806,-0.044723
108.177,0.499436,3.50345,7.489635,-1.259529,-0.029446
109.277,0.4997,3.50507,7.490537,-1.244242,-0.014159
110.377,0.499302,3.50636,7.491438,-1.228971,0.001112
111.477,0.499366,3.50798,7.492339,-1.213688,0.016395
112.577,0.500036,3.50927,7.493241,-1.198405,0.031678
113.677,0.499902,3.51057,7.494143,-1.183115,0.046968
114.777,0.499236,3.51218,7.495045,-1.167839,0.062244
115.877,0.499168,3.51348,7.495946,-1.152561,0.077522
116.977,0.499432,3.51477,7.496847,-1.137296,0.092787
118.077,0.499432,3.51606,7.497748,-1.122021,0.108062
119.177,0.500434,3.51768,7.498649,-1.106751,0.123332
120.277,0.499568,3.51865,7.49955,-1.091475,0.138608
121.377,0.500834,3.51994,7.500451,-1.076196,0.153887
122.477,0.500568,3.52156,7.501352,-1.060931,0.169152
123.577,0.499168,3.52286,7.502254,-1.04565,0.184433
124.677,0.500836,3.52415,7.503155,-1.030373,0.19971
125.777,0.500036,3.52544,7.504056,-1.015094,0.214989
126.877,0.500169,3.52674,7.504958,-0.999817,0.230266
127.977,0.498568,3.52771,7.505859,-0.984545,0.245538
129.077,0.499498,3.52932,7.50676,-0.969269,0.260814
130.177,0.499698,3.53062,7.507661,-0.953997,0.276086
131.277,0.499898,3.53191,7.508563,-0.938714,0.291369
132.377,0.500166,3.53321,7.509464,-0.923434,0.306649
133.477,0.500366,3.53418,7.510366,-0.908153,0.32193
134.577,0.499234,3.53579,7.511267,-0.892885,0.337198
135.677,0.501031,3.53676,7.512169,-0.877601,0.352482
136.777,0.500102,3.53806,7.51307,-0.862328,0.367755
137.877,0.500032,3.53935,7.513971,-0.847051,0.383032
138.977,0.5005,3.54032,7.514873,-0.831771,0.398312
140.077,0.500236,3.54161,7.515774,-0.816493,0.41359
141.177,0.500432,3.54259,7.516676,-0.801206,0.428877
142.277,0.498631,3.54388,7.517577,-0.785932,0.444151
143.377,0.499034,3.54485,7.518478,-0.770659,0.459424
144.477,0.500164,3.54647,7.51938,-0.75538,0.474703
145.577,0.500364,3.54744,7.520282,-0.740093,0.48999
146.677,0.4997,3.54873,7.521183,-0.724811,0.505272
147.777,0.500232,3.5497,7.522085,-0.709529,0.520554
148.877,0.5009,3.55099,7.522986,-0.694249,0.535834
149.977,0.501366,3.55196,7.523888,-0.678964,0.551119
151.077,0.499902,3.55326,7.524789,-0.663688,0.566395
152.177,0.499766,3.55455,7.525691,-0.648403,0.58168
153.277,0.499698,3.55552,7.526592,-0.633136,0.596947
154.377,0.501231,3.55649,7.527493,-0.617873,0.61221
155.477,0.4997,3.55779,7.528394,-0.602594,0.627489
156.577,0.500032,3.55876,7.529296,-0.587307,0.642776
157.677,0.501031,3.56005,7.530198,-0.572022,0.658061
158.777,0.499966,3.56102,7.531099,-0.556741,0.673342
159.877,0.499236,3.56231,7.532,-0.541471,0.688612
160.977,0.500166,3.56329,7.532901,-0.526197,0.703886
162.077,0.499498,3.56426,7.533803,-0.510917,0.719166
163.177,0.500164,3.56555,7.534704,-0.495648,0.734435
164.277,0.4997,3.56652,7.535605,-0.48037,0.749713
165.377,0.4991,3.56749,7.536506,-0.465095,0.764988
166.477,0.499768,3.56846,7.537408,-0.449813,0.78027
167.577,0.499568,3.56975,7.53831,-0.434532,0.795551
168.677,0.498566,3.57072,7.539211,-0.419263,0.81082
169.777,0.501098,3.57169,7.540112,-0.403984,0.826099
170.877,0.5001,3.57266,7.541014,-0.388701,0.841382
171.977,0.501432,3.57396,7.541914,-0.37344,0.856643
173.077,0.500632,3.57493,7.542816,-0.358154,0.871929
174.177,0.500032,3.5759,7.543717,-0.342874,0.887209
175.277,0.499632,3.57687,7.54462,-0.327583,0.9025
176.377,0.500298,3.57816,7.545521,-0.312298,0.917785
177.477,0.498968,3.57881,7.546422,-0.297029,0.933054
178.577,0.499969,3.57978,7.547324,-0.281746,0.948337
179.677,0.499032,3.58107,7.548226,-0.266466,0.963617
180.777,0.500502,3.58204,7.549127,-0.251185,0.978898
181.877,0.499634,3.58301,7.550028,-0.235912,0.994171
182.977,0.499302,3.58398,7.55093,-0.220628,1.009455
184.077,0.499898,3.58496,7.551832,-0.205346,1.024737
185.177,0.500031,3.58593,7.552733,-0.190066,1.040017
186.277,0.498232,3.5869,7.553635,-0.174782,1.055301
187.377,0.499832,3.58787,7.554536,-0.159504,1.070579
188.477,0.500034,3.58884,7.555437,-0.144234,1.085849
189.577,0.4995,3.58981,7.556338,-0.128968,1.101115
190.677,0.499968,3.59078,7.55724,-0.11368,1.116403
191.777,0.500298,3.59175,7.558141,-0.098401,1.131682
192.877,0.5017,3.59272,7.559043,-0.083114,1.146969
193.977,0.500431,3.59369,7.559944,-0.067843,1.16224
195.077,0.499166,3.59433,7.560846,-0.052568,1.177515
196.177,0.500366,3.5953,7.561747,-0.037284,1.192799
197.277,0.499563,3.5966,7.562649,-0.022006,1.208077
198.377,0.5005,3.59725,7.56355,-0.006734,1.223349
199.477,0.500498,3.59822,7.564452,0.008551,1.238634
200.577,0.5007,3.59919,7.565353,0.023829,1.253912
201.677,0.499632,3.60016,7.566254,0.039109,1.269192
202.777,0.500764,3.60113,7.567156,0.054386,1.284469
203.877,0.5001,3.60177,7.568057,0.069662,1.299745
204.977,0.499102,3.60274,7.568959,0.084944,1.315027
206.077,0.500031,3.60371,7.56986,0.100221,1.330304
207.177,0.499434,3.60468,7.570762,0.115507,1.34559
208.277,0.500034,3.60566,7.571663,0.130777,1.36086
209.377,0.499964,3.6063,7.572564,0.146056,1.376139
210.477,0.500564,3.6076,7.573466,0.161336,1.391419
211.577,0.499634,3.60824,7.574367,0.176607,1.40669
212.677,0.500698,3.60921,7.575269,0.191893,1.421976
213.777,0.501098,3.60986,7.57617,0.207177,1.43726
214.877,0.5003,3.61083,7.577071,0.222445,1.452528
215.977,0.499966,3.6118,7.577973,0.237721,1.467804
217.077,0.499497,3.61245,7.578874,0.253005,1.483088
218.177,0.499966,3.61374,7.579776,0.26829,1.498373
219.277,0.500632,3.61439,7.580678,0.283572,1.513655
220.377,0.499032,3.61503,7.581579,0.298849,1.528932
221.477,0.499698,3.616,7.58248,0.314124,1.544207
222.577,0.499634,3.61665,7.583382,0.329406,1.559489
223.677,0.500964,3.61762,7.584283,0.344681,1.574764
224.777,0.500364,3.61859,7.585185,0.359967,1.59005
225.877,0.5001,3.61956,7.586087,0.375251,1.605334
226.977,0.500363,3.62021,7.586989,0.390534,1.620617
228.077,0.500498,3.62086,7.587891,0.405822,1.635905
229.177,0.500231,3.62183,7.588792,0.4211,1.651183
230.277,0.5001,3.6228,7.589693,0.436373,1.666456
231.377,0.499831,3.62377,7.590594,0.451647,1.68173
232.477,0.5007,3.62441,7.591495,0.466922,1.697005
233.577,0.500432,3.62506,7.592397,0.482198,1.712281
234.677,0.500568,3.62603,7.593299,0.497489,1.727572
235.777,0.5001,3.62668,7.5942,0.512768,1.742851
236.877,0.500098,3.62765,7.595102,0.528051,1.758134
237.977,0.500164,3.6283,7.596003,0.543327,1.77341
239.077,0.499698,3.62927,7.596905,0.558602,1.788685
240.177,0.499829,3.62991,7.597807,0.573894,1.803977
241.277,0.499432,3.63088,7.598708,0.589161,1.819244
242.377,0.500032,3.63153,7.599609,0.604439,1.834522
243.477,0.499766,3.6325,7.60051,0.619717,1.8498
244.577,0.500032,3.63315,7.601412,0.634992,1.865075
245.677,0.500232,3.63379,7.602313,0.650268,1.880351
246.777,0.498836,3.63444,7.603214,0.665542,1.895625
247.877,0.500232,3.63541,7.604115,0.680817,1.9109
248.977,0.499166,3.63606,7.605016,0.696092,1.926175
250.077,0.500429,3.63703,7.605918,0.711379,1.941462
251.177,0.499632,3.63768,7.60682,0.726656,1.956739
252.277,0.5003,3.63865,7.607721,0.741934,1.972017
253.377,0.498966,3.63897,7.608622,0.757207,1.98729
254.477,0.500298,3.63994,7.609524,0.772486,2.002569
255.577,0.5003,3.64091,7.610425,0.787767,2.01785
256.677,0.499232,3.64156,7.611326,0.80304,2.033123
257.777,0.501032,3.6422,7.612228,0.818321,2.048404
258.877,0.500764,3.64285,7.613129,0.833589,2.063672
259.977,0.499764,3.64382,7.61403,0.848863,2.078946
261.077,0.499695,3.64447,7.614931,0.864141,2.094224
262.177,0.5001,3.64544,7.615833,0.879418,2.109501
263.277,0.500632,3.64608,7.616734,0.894696,2.124779
264.377,0.501098,3.64673,7.617636,0.909978,2.140061
265.477,0.500634,3.64738,7.618538,0.925269,2.155352
266.577,0.5007,3.64803,7.619439,0.940548,2.170631
267.677,0.499566,3.64867,7.620341,0.955825,2.185908
268.777,0.499564,3.64964,7.621242,0.971099,2.201182
269.877,0.500497,3.65029,7.622143,0.98638,2.216463
270.977,0.500097,3.65094,7.623045,1.001658,2.231741
