Section Length,Cumulative Length,Radius
14.53,4216.51,13.3
10.52,4227.03,0
12.98,4240.01,15.07
11.78,4251.79,0
10,4261.79,23.56
63.85,4325.64,0
18.74,4344.38,31.72
26.59,4370.97,21.5
18.13,4389.1,0
25.64,4414.74,22.09
20.28,4435.02,0
18.34,4453.36,22.23
14.41,4467.77,20.43
10.71,4478.48,11.57
11.77,4490.25,15.09
29.13,4519.38,20.63
10.25,4529.63,10.21
78.13,4607.76,0
10.04,4617.8,7.44
16.01,4633.81,11.78
16.68,4650.49,0
7.21,4657.7,9.13
6.61,4664.31,4.05
6.68,4670.99,0
14.26,4685.25,12.32
7.29,4692.54,3.92
9.05,4701.59,29.42
20.96,4722.55,0
32.25,4754.8,33.4
22.99,4777.79,17.72
17.05,4794.84,15.49
12.19,4807.03,5.52
95.71,4902.74,0
4.28,4907.02,6.38
8.89,4915.91,7.09
9.5,4925.41,7.92
7.5,4932.91,8.7
10.67,4943.58,36.5
31.55,4975.13,0
5.2,4980.33,3.71
31.33,5011.66,14.33
7.22,5018.88,0
4,5022.88,6.58
5.99,5028.87,20.92
29.12,5057.99,0
4.91,5062.9,8.51
10,5072.9,8.13
9.8,5082.7,8.49
9.09,5091.79,7.79
5.22,5097.01,0
9.72,5106.73,8.45
8.69,5115.42,0
12.37,5127.79,10.03
7.28,5135.07,0
12.91,5147.98,8.2
3.65,5151.63,0
9.96,5161.59,6.86
6.51,5168.1,0
7.13,5175.23,7.01
5.38,5180.61,4.79
17.79,5198.4,0
9.92,5208.32,9.39
9.94,5218.26,0
15.32,5233.58,13.24
8.08,5241.66,0
14.53,5256.19,13.3
10.52,5266.71,0
12.98,5279.69,15.07
11.78,5291.47,0
10,5301.47,23.56
63.85,5365.32,0
18.74,5384.06,31.72
26.59,5410.65,21.5
18.13,5428.78,0
25.64,5454.42,22.09
20.28,5474.7,0
18.34,5493.04,22.23
14.41,5507.45,20.43
10.71,5518.16,11.57
11.77,5529.93,15.09
29.13,5559.06,20.63
10.25,5569.31,10.21
78.13,5647.44,0
10.04,5657.48,7.44
16.01,5673.49,11.78
16.68,5690.17,0
7.21,5697.38,9.13
6.61,5703.99,4.05
6.68,5710.67,0
14.26,5724.93,12.32
7.29,5732.22,3.92
9.05,5741.27,29.42
20.96,5762.23,0
32.25,5794.48,33.4
22.99,5817.47,17.72
17.05,5834.52,15.49
12.19,5846.71,5.52
95.71,5942.42,0
4.28,5946.7,6.38
8.89,5955.59,7.09
9.5,5965.09,7.92
7.5,5972.59,8.7
10.67,5983.26,36.5
31.55,6014.81,0
5.2,6020.01,3.71
31.33,6051.34,14.33
7.22,6058.56,0
4,6062.56,6.58
5.99,6068.55,20.92
29.12,6097.67,0
4.91,6102.58,8.51
10,6112.58,8.13
9.8,6122.38,8.49
9.09,6131.47,7.79
5.22,6136.69,0
9.72,6146.41,8.45
8.69,6155.1,0
12.37,6167.47,10.03
7.28,6174.75,0
12.91,6187.66,8.2
3.65,6191.31,0
9.96,6201.27,6.86
6.51,6207.78,0
7.13,6214.91,7.01
5.38,6220.29,4.79
17.79,6238.08,0
9.92,6248,9.39
9.94,6257.94,0
15.32,6273.26,13.24
8.08,6281.34,0
14.53,6295.87,13.3
10.52,6306.39,0
12.98,6319.37,15.07
11.78,6331.15,0
10,6341.15,23.56
63.85,6405,0
18.74,6423.74,31.72
26.59,6450.33,21.5
18.13,6468.46,0
25.64,6494.1,22.09
20.28,6514.38,0
18.34,6532.72,22.23
14.41,6547.13,20.43
10.71,6557.84,11.57
11.77,6569.61,15.09
29.13,6598.74,20.63
10.25,6608.99,10.21
78.13,6687.12,0
10.04,6697.16,7.44
16.01,6713.17,11.78
16.68,6729.85,0
7.21,6737.06,9.13
6.61,6743.67,4.05
6.68,6750.35,0
14.26,6764.61,12.32
7.29,6771.9,3.92
9.05,6780.95,29.42
20.96,6801.91,0
32.25,6834.16,33.4
22.99,6857.15,17.72
17.05,6874.2,15.49
12.19,6886.39,5.52
95.71,6982.1,0
4.28,6986.38,6.38
8.89,6995.27,7.09
9.5,7004.77,7.92
7.5,7012.27,8.7
10.67,7022.94,36.5
31.55,7054.49,0
5.2,7059.69,3.71
31.33,7091.02,14.33
7.22,7098.24,0
4,7102.24,6.58
5.99,7108.23,20.92
29.12,7137.35,0
4.91,7142.26,8.51
10,7152.26,8.13
9.8,7162.06,8.49
9.09,7171.15,7.79
5.22,7176.37,0
9.72,7186.09,8.45
8.69,7194.78,0
12.37,7207.15,10.03
7.28,7214.43,0
12.91,7227.34,8.2
3.65,7230.99,0
9.96,7240.95,6.86
6.51,7247.46,0
7.13,7254.59,7.01
5.38,7259.97,4.79
17.79,7277.76,0
9.92,7287.68,9.39
9.94,7297.62,0
15.32,7312.94,13.24
8.08,7321.02,0
14.53,7335.55,13.3
10.52,7346.07,0
12.98,7359.05,15.07
11.78,7370.83,0
10,7380.83,23.56
63.85,7444.68,0
18.74,7463.42,31.72
26.59,7490.01,21.5
18.13,7508.14,0
25.64,7533.78,22.09
20.28,7554.06,0
18.34,7572.4,22.23
14.41,7586.81,20.43
10.71,7597.52,11.57
11.77,7609.29,15.09
29.13,7638.42,20.63
10.25,7648.67,10.21
78.13,7726.8,0
10.04,7736.84,7.44
16.01,7752.85,11.78
16.68,7769.53,0
7.21,7776.74,9.13
6.61,7783.35,4.05
6.68,7790.03,0
14.26,7804.29,12.32
7.29,7811.58,3.92
9.05,7820.63,29.42
20.96,7841.59,0
32.25,7873.84,33.4
22.99,7896.83,17.72
17.05,7913.88,15.49
12.19,7926.07,5.52
