Type,Section Length,Cumulative Length,Radius
Left,2.344,1883.53,36.382
Left,2.475,1886.005,41.081
Left,2.586,1888.591,43.424
Left,2.594,1891.185,43.427
Left,2.581,1893.766,43.795
Left,2.586,1896.352,44.852
Left,2.553,1898.905,43.993
Left,2.525,1901.43,41.93
Left,2.511,1903.941,43.727
Left,2.511,1906.452,39.924
Left,2.522,1908.974,42.109
Left,2.536,1911.51,44.602
Left,2.567,1914.077,67.832
Left,2.619,1916.696,139.888
Right,2.708,1919.404,241.198
Right,2.8,1922.204,87.822
Right,2.842,1925.046,59.219
Right,2.842,1927.888,49.888
Right,2.822,1930.71,49.207
Right,2.808,1933.518,51.207
Right,2.828,1936.346,51.918
Right,2.85,1939.196,48.705
Right,2.9,1942.096,53.918
Right,2.944,1945.04,55.935
Right,2.992,1948.032,55.972
Right,3.028,1951.06,58.774
Right,3.089,1954.149,67.076
Right,3.156,1957.305,69.05
Right,3.219,1960.524,71.875
Right,3.278,1963.802,86.236
Right,3.336,1967.138,96.967
Right,3.403,1970.541,113.492
Right,3.472,1974.013,153.623
Right,3.539,1977.552,223.97
Right,3.597,1981.149,338.221
Right,3.661,1984.81,803.726
Straight,3.731,1988.541,0
Left,3.792,1992.333,915.949
Left,3.847,1996.18,628.658
Left,3.908,2000.088,502.288
Left,3.978,2004.066,460.833
Left,4.047,2008.113,491.096
Left,4.111,2012.224,506.723
Left,4.178,2016.402,539.148
Left,4.242,2020.644,591.619
Left,4.308,2024.952,727.74
Left,4.372,2029.324,847.242
Left,4.433,2033.757,954.053
Left,4.494,2038.251,1143.959
Left,4.558,2042.809,1245.932
Left,4.617,2047.426,1357.901
Left,4.669,2052.095,1481.734
Left,4.714,2056.809,1510.075
Left,4.756,2061.565,1773.332
Left,4.803,2066.368,1959.452
Straight,105.844,2172.212,0
Right,5.733,2177.945,1763.566
Right,5.769,2183.714,1475.269
Right,5.797,2189.511,1105.119
Right,5.814,2195.325,650.113
Right,5.828,2201.153,443.856
Right,5.833,2206.986,327.234
Right,5.833,2212.819,249.546
Right,5.797,2218.616,207.628
Right,5.708,2224.324,184.534
Right,5.583,2229.907,165.507
Right,5.458,2235.365,149.608
Right,5.333,2240.698,144.977
Right,5.203,2245.901,139.359
Right,5.097,2250.998,132.424
Right,4.975,2255.973,115.205
Right,4.886,2260.859,105.811
Right,4.8,2265.659,98.682
Right,4.711,2270.37,90.498
Right,4.633,2275.003,85.483
Right,4.575,2279.578,91.18
Right,4.533,2284.111,98.817
Right,4.475,2288.586,95.838
Right,4.428,2293.014,90.022
Right,4.414,2297.428,91.943
Right,4.381,2301.809,87.326
Right,4.331,2306.14,82.401
Right,4.294,2310.434,81.383
Right,4.3,2314.734,85.286
Right,4.333,2319.067,85.073
Right,4.381,2323.448,84.314
Right,4.417,2327.865,86.833
Right,4.447,2332.312,85.791
Right,4.478,2336.79,88.48
Right,4.508,2341.298,88.165
Right,4.542,2345.84,91.418
Right,4.564,2350.404,88.469
Right,4.603,2355.007,90.739
Right,4.647,2359.654,92.5
Right,4.697,2364.351,99.08
Right,4.733,2369.084,105.246
Right,4.764,2373.848,119.866
Right,4.811,2378.659,139.616
Right,4.858,2383.517,161.48
Right,4.908,2388.425,184.649
Right,4.95,2393.375,211.67
Right,4.992,2398.367,244.224
Right,5.028,2403.395,303.155
Right,5.058,2408.453,389.288
Right,5.092,2413.545,562.281
Right,5.142,2418.687,929.268
Right,5.2,2423.887,1722.732
Straight,10.517,2434.404,0
Left,5.314,2439.718,1799.02
Left,5.356,2445.074,1218.229
Left,5.394,2450.468,1022.884
Left,5.433,2455.901,911.905
Left,5.475,2461.376,898.712
Left,5.519,2466.895,1070.838
Left,5.561,2472.456,1313.539
Left,5.603,2478.059,1684.163
Straight,75.011,2553.07,0
Right,5.386,2558.456,1971.471
Right,5.2,2563.656,1148.488
Right,5.019,2568.675,546.442
Right,4.875,2573.55,327.377
Right,4.725,2578.275,214.698
Right,4.631,2582.906,161.906
Right,4.514,2587.42,131.455
Right,4.425,2591.845,114.712
Right,4.35,2596.195,102.601
Right,4.3,2600.495,98.681
Right,4.261,2604.756,89.414
Right,4.231,2608.987,82.928
Right,4.2,2613.187,78.867
Right,4.175,2617.362,77.931
Right,4.153,2621.515,78.832
Right,4.133,2625.648,73.174
Right,4.139,2629.787,75.923
Right,4.158,2633.945,75.977
Right,4.181,2638.126,76.462
Right,4.197,2642.323,75.138
Right,4.236,2646.559,85.478
Right,4.272,2650.831,88.177
Right,4.317,2655.148,96.419
Right,4.356,2659.504,105.099
Right,4.394,2663.898,120.768
Right,4.447,2668.345,138.088
Right,4.506,2672.851,142.712
Right,4.55,2677.401,180.372
Right,4.586,2681.987,196.695
Right,4.622,2686.609,209.411
Right,4.664,2691.273,254.864
Right,4.722,2695.995,420.95
Right,4.778,2700.773,541.146
Right,4.831,2705.604,1251.906
Straight,207.625,2913.229,0
Left,6.242,2919.471,1985.647
Left,6.267,2925.738,1601.269
Left,6.294,2932.032,1346.246
Left,6.319,2938.351,1197.319
Left,6.347,2944.698,1140.764
Left,6.372,2951.07,1118.693
Left,6.4,2957.47,1128.468
Left,6.425,2963.895,1202.29
Left,6.453,2970.348,1248.376
Left,6.478,2976.826,1156.063
Left,6.503,2983.329,1105.259
Left,6.525,2989.854,1058.542
Left,6.547,2996.401,949.921
Left,6.569,3002.97,936.031
Left,6.594,3009.564,963.673
Left,6.617,3016.181,1014.278
Left,6.636,3022.817,1020.248
Left,6.653,3029.47,1074.206
Left,6.664,3036.134,1131.687
Left,6.681,3042.815,1166.518
Left,6.697,3049.512,1115.158
Left,6.717,3056.229,1121.643
Left,6.736,3062.965,1156.35
Left,6.753,3069.718,1191.877
Left,6.772,3076.49,1263.548
Left,6.792,3083.282,1516.778
Left,6.811,3090.093,1818.836
Straight,532.419,3622.512,0
Left,5.436,3627.948,1369.257
Left,5.264,3633.212,807.005
Left,5.114,3638.326,579.53
Left,5,3643.326,411.035
Left,4.886,3648.212,282.982
Left,4.756,3652.968,205.833
Left,4.622,3657.59,154.459
Left,4.456,3662.046,124.916
Left,4.225,3666.271,100.532
