Type,Section Length,Cumulative Length,Radius
,4.586,8437.109,196.695
,4.622,8441.731,209.411
,4.664,8446.395,254.864
,4.722,8451.117,420.95
,4.778,8455.895,541.146
,4.831,8460.726,1251.906
,207.625,8668.351,0
,6.242,8674.593,1985.647
,6.267,8680.86,1601.269
,6.294,8687.154,1346.246
,6.319,8693.473,1197.319
,6.347,8699.82,1140.764
,6.372,8706.192,1118.693
,6.4,8712.592,1128.468
,6.425,8719.017,1202.29
,6.453,8725.47,1248.376
,6.478,8731.948,1156.063
,6.503,8738.451,1105.259
,6.525,8744.976,1058.542
,6.547,8751.523,949.921
,6.569,8758.092,936.031
,6.594,8764.686,963.673
,6.617,8771.303,1014.278
,6.636,8777.939,1020.248
,6.653,8784.592,1074.206
,6.664,8791.256,1131.687
,6.681,8797.937,1166.518
,6.697,8804.634,1115.158
,6.717,8811.351,1121.643
,6.736,8818.087,1156.35
,6.753,8824.84,1191.877
,6.772,8831.612,1263.548
,6.792,8838.404,1516.778
,6.811,8845.215,1818.836
,532.419,9377.634,0
,5.436,9383.07,1369.257
,5.264,9388.334,807.005
,5.114,9393.448,579.53
,5,9398.448,411.035
,4.886,9403.334,282.982
,4.756,9408.09,205.833
,4.622,9412.712,154.459
,4.456,9417.168,124.916
,4.225,9421.393,100.532
,4.122,9425.515,91.168
,4.153,9429.668,91.56
,4.231,9433.899,94.042
,4.214,9438.113,90.054
,4.169,9442.282,89.5
,4.125,9446.407,96.362
,4.086,9450.493,91.998
,4.061,9454.554,97.744
,4.042,9458.596,95.698
,4.061,9462.657,98.894
,4.103,9466.76,90.309
,4.15,9470.91,94.898
,4.183,9475.093,95.91
,4.233,9479.326,104.99
,4.289,9483.615,116.465
,4.353,9487.968,165.074
,4.422,9492.39,332.247
,4.497,9496.887,0
,4.558,9501.445,306.969
,4.617,9506.062,172.432
,4.667,9510.729,137.886
,4.717,9515.446,122.583
,4.758,9520.204,117.756
,4.797,9525.001,123.469
,4.817,9529.818,111.555
,4.858,9534.676,119.704
,4.886,9539.562,115.339
,4.917,9544.479,112.52
,4.942,9549.421,105.928
,5,9554.421,113.769
,5.028,9559.449,108.27
,5.056,9564.505,112.3
,5.089,9569.594,113.786
,5.131,9574.725,118.728
,5.169,9579.894,124.957
,5.206,9585.1,140.932
,5.239,9590.339,190.323
,5.269,9595.608,358.289
,5.297,9600.905,0
,5.328,9606.233,490.423
,5.358,9611.591,241.883
,5.394,9616.985,187.745
,5.417,9622.402,160.799
,5.456,9627.858,154.008
,5.478,9633.336,139.668
,5.497,9638.833,142.615
,5.511,9644.344,136.994
,5.547,9649.891,139.412
,5.581,9655.472,142.358
,5.603,9661.075,157.631
,5.631,9666.706,164.884
,5.661,9672.367,180.491
,5.697,9678.064,199.319
,5.725,9683.789,214.169
,5.753,9689.542,231.065
,5.789,9695.331,258.79
,5.822,9701.153,287.957
,5.858,9707.011,353.382
,5.892,9712.903,436.84
,5.922,9718.825,525.765
,5.95,9724.775,707.611
,5.978,9730.753,984.484
,6.008,9736.761,1314.259
,809.319,10546.08,0
,6.919,10552.999,1435.471
,6.711,10559.71,936.966
,6.533,10566.243,630.596
,6.356,10572.599,420.157
,6.2,10578.799,310.988
,6.042,10584.841,248.058
,5.886,10590.727,202.973
,5.739,10596.466,177.633
,5.594,10602.06,157.162
,5.486,10607.546,144.039
,5.369,10612.915,132.384
,5.256,10618.171,122.417
,5.147,10623.318,115.415
,5.042,10628.36,109.328
,4.961,10633.321,107.679
,4.861,10638.182,101.637
,4.767,10642.949,97.316
,4.664,10647.613,92.388
,4.583,10652.196,92.301
,4.522,10656.718,89.088
,4.464,10661.182,87.932
,4.411,10665.593,85.865
,4.364,10669.957,85.517
,4.325,10674.282,84
,4.306,10678.588,83.246
,4.294,10682.882,84.682
,4.292,10687.174,86.922
,4.289,10691.463,85.231
,4.308,10695.771,86.795
,4.339,10700.11,88.03
,4.369,10704.479,88.063
,4.394,10708.873,88.672
,4.414,10713.287,88.66
,4.433,10717.72,89.442
,4.456,10722.176,91.155
,4.464,10726.64,89.877
,4.475,10731.115,91.132
,4.492,10735.607,91.812
,4.517,10740.124,93.673
,4.561,10744.685,92.606
,4.608,10749.293,96.643
,4.664,10753.957,98.987
,4.711,10758.668,105.23
,4.75,10763.418,107.979
,4.789,10768.207,118.069
,4.836,10773.043,124.822
,4.881,10777.924,132.684
,4.925,10782.849,139.692
,4.969,10787.818,148.08
,5.011,10792.829,152.367
,5.058,10797.887,160.014
,5.103,10802.99,165.892
,5.144,10808.134,170.746
,5.183,10813.317,176.692
,5.225,10818.542,179.544
,5.267,10823.809,181.25
,5.308,10829.117,182.956
,5.35,10834.467,185.84
,5.389,10839.856,183.867
,5.431,10845.287,186.721
,5.469,10850.756,190.589
,5.506,10856.262,190.73
,5.542,10861.804,192.054
,5.581,10867.385,195.962
,5.619,10873.004,201.186
,5.653,10878.657,203.58
,5.681,10884.338,210.857
,5.7,10890.038,215.06
,5.725,10895.763,222.736
,5.756,10901.519,231.288
,5.789,10907.308,238.883
,5.819,10913.127,243.112
,5.85,10918.977,254.637
,5.883,10924.86,265.293
,5.911,10930.771,271.893
,5.939,10936.71,283.099
,5.972,10942.682,293.212
,5.997,10948.679,298.075
,6.025,10954.704,303.309
,6.056,10960.76,314.117
,6.086,10966.846,325.501
,6.111,10972.957,336.894
,6.139,10979.096,349.235
,6.167,10985.263,362.283
,6.194,10991.457,372.517
,6.222,10997.679,390.752
,6.247,11003.926,418.776
,6.272,11010.198,466.311
,6.297,11016.495,524.975
,6.325,11022.82,647.309
,6.35,11029.17,761.175
,6.375,11035.545,963.436
,6.397,11041.942,1191.916
,6.425,11048.367,1618.467
,6.45,11054.817,1843.837
,65.803,11120.62,0
,6.686,11127.306,1898.746
,6.697,11134.003,1905.062
,33.739,11167.742,0
,6.8,11174.542,1812.907
,6.819,11181.361,1693.055
,6.836,11188.197,1701.34
,6.85,11195.047,1771.529
,6.867,11201.914,1922.573
,20.7,11222.614,0
,6.933,11229.547,1960.086
,280.697,11510.244,0
,639.158,12149.402,0
,3.869,12153.271,1526.259
,3.714,12156.985,1004.294
,3.561,12160.546,807.945
,3.411,12163.957,741.315
,3.278,12167.235,644.23
,3.147,12170.382,480.802
,3.039,12173.421,313.79
,2.936,12176.357,191.037
,2.853,12179.21,127.63
,2.758,12181.968,91.244
,2.678,12184.646,68.956
,2.592,12187.238,55.665
,2.514,12189.752,48.075
,2.428,12192.18,42.916
,2.356,12194.536,39.832
,2.283,12196.819,35.909
,2.211,12199.03,33.448
,2.136,12201.166,31.217
,2.075,12203.241,26.125
,2.031,12205.272,24.579
,2.019,12207.291,29.276
,2.003,12209.294,25.24
,1.958,12211.252,24.743
,1.917,12213.169,26.941
,1.9,12215.069,24.697
,1.908,12216.977,23.202
,1.931,12218.908,29.915
,1.964,12220.872,41.385
,1.992,12222.864,91.899
,2.014,12224.878,165.372
,2.028,12226.906,59.036
,2.025,12228.931,34.263
,2.011,12230.942,28.239
,1.989,12232.931,25.683
,1.958,12234.889,25.06
,1.925,12236.814,23.462
,1.892,12238.706,23.998
,1.864,12240.57,22.848
,1.842,12242.412,24.521
,1.825,12244.237,22.634
,1.825,12246.062,24.425
,1.833,12247.895,22.995
,1.856,12249.751,25.25
,1.878,12251.629,24.619
,1.914,12253.543,26.863
,1.958,12255.501,26.776
,2.014,12257.515,30.399
,2.058,12259.573,34.276
,2.106,12261.679,37.977
,2.172,12263.851,40.083
,2.247,12266.098,45.963
,2.319,12268.417,57.727
,2.394,12270.811,61.52
,2.503,12273.314,74.247
,2.608,12275.922,110.082
,2.697,12278.619,154.498
,2.781,12281.4,183.284
,2.872,12284.272,233.596
,2.972,12287.244,360.208
,3.061,12290.305,502.731
,3.153,12293.458,1125.836
,3.242,12296.7,0
,3.336,12300.036,1890.866
,3.422,12303.458,1193.844
,3.508,12306.966,896.199
,3.592,12310.558,939.28
,3.672,12314.23,808.612
,3.744,12317.974,752.233
,3.806,12321.78,671.034
,3.867,12325.647,564.47
,3.922,12329.569,475.205
,3.989,12333.558,450.539
,4.058,12337.616,441.817
,4.122,12341.738,455.838
,4.183,12345.921,482.141
,4.244,12350.165,496.331
,4.308,12354.473,473.031
,4.367,12358.84,431.935
,4.428,12363.268,399.699
,4.489,12367.757,366.793
,4.547,12372.304,369.784
,4.603,12376.907,385.641
,4.661,12381.568,410.125
,4.719,12386.287,428.388
,4.772,12391.059,438.023
,4.817,12395.876,437.956
,4.856,12400.732,407.34
,4.897,12405.629,400.775
,4.942,12410.571,401.501
,4.986,12415.557,415.456
,5.033,12420.59,437.714
,5.078,12425.668,469.343
,5.122,12430.79,495.284
,5.167,12435.957,533.558
,5.211,12441.168,576.701
,5.256,12446.424,599.06
,5.297,12451.721,608.597
,5.339,12457.06,581.116
,5.381,12462.441,556.813
,5.422,12467.863,554.999
,5.467,12473.33,574.778
,5.508,12478.838,606.459
,5.544,12484.382,652.839
,5.586,12489.968,691.5
,5.625,12495.593,701.162
,5.664,12501.257,641.195
,5.703,12506.96,625.501
,5.739,12512.699,610.413
,5.772,12518.471,628.96
,5.794,12524.265,611.176
,5.808,12530.073,625.275
,5.828,12535.901,629.469
,5.858,12541.759,603.186
,5.892,12547.651,570.71
,5.922,12553.573,510.743
,5.953,12559.526,475.288
,5.983,12565.509,439.683
,6.017,12571.526,419.334
,6.047,12577.573,405.187
,6.075,12583.648,404.521
,6.106,12589.754,391.751
,6.133,12595.887,383.464
,6.164,12602.051,368.851
,6.189,12608.24,351.749
,6.217,12614.457,342.569
,6.247,12620.704,340.031
,6.269,12626.973,339.553
,6.294,12633.267,336.562
,6.322,12639.589,342.392
,6.347,12645.936,348.03
,6.375,12652.311,336.811
,6.394,12658.705,325.632
,6.422,12665.127,313.759
,6.447,12671.574,307.042
,6.469,12678.043,290.234
,6.494,12684.537,284.733
,6.517,12691.054,286.685
,6.539,12697.593,294.495
,6.558,12704.151,290.363
,6.581,12710.732,300.289
,6.603,12717.335,315.185
,6.622,12723.957,321.606
,6.636,12730.593,327.671
,6.661,12737.254,330.144
,6.672,12743.926,336.154
,6.686,12750.612,325.499
,6.7,12757.312,313.421
,6.711,12764.023,306.076
,6.733,12770.756,308.106
,6.747,12777.503,313.559
,6.758,12784.261,332.569
,6.778,12791.039,346.874
,6.794,12797.833,359.226
,6.814,12804.647,369.752
,6.828,12811.475,368.383
,6.842,12818.317,364.237
,6.861,12825.178,366.31
,6.872,12832.05,364.713
,6.889,12838.939,369.282
,6.903,12845.842,373.625
,6.919,12852.761,375.431
,6.933,12859.694,382.829
,6.95,12866.644,387.701
,6.961,12873.605,382.912
,6.975,12880.58,375.704
,6.989,12887.569,383.005
,7.003,12894.572,390.537
,7.014,12901.586,397.996
,7.028,12908.614,409.319
,7.042,12915.656,424.752
,7.053,12922.709,433.377
,7.064,12929.773,442.304
,7.078,12936.851,455.939
,7.089,12943.94,478.744
,7.1,12951.04,494.099
,7.114,12958.154,496.034
,7.122,12965.276,492.462
,7.133,12972.409,494
,7.15,12979.559,501.083
,7.161,12986.72,507.522
,7.169,12993.889,540.17
,7.181,13001.07,583.989
,7.186,13008.256,634.221
,7.2,13015.456,686.286
,7.211,13022.667,736.212
,7.222,13029.889,770.59
,7.231,13037.12,845.929
,7.242,13044.362,937.85
,7.256,13051.618,1095.157
,7.264,13058.882,1344.65
,7.272,13066.154,1633.621
,283.808,13349.962,0
,4.297,13354.259,1568.648
,4.139,13358.398,1247.299
,3.983,13362.381,851.277
,3.839,13366.22,600.9
,3.706,13369.926,399.917
,3.575,13373.501,245.814
,3.436,13376.937,182.357
,3.297,13380.234,116.655
,3.119,13383.353,86.256
,2.925,13386.278,66.575
,2.733,13389.011,55.187
,2.419,13391.43,40.048
,2.344,13393.774,36.382
,2.475,13396.249,41.081
,2.586,13398.835,43.424
,2.594,13401.429,43.427
,2.581,13404.01,43.795
,2.586,13406.596,44.852
,2.553,13409.149,43.993
,2.525,13411.674,41.93
,2.511,13414.185,43.727
,2.511,13416.696,39.924
,2.522,13419.218,42.109
,2.536,13421.754,44.602
,2.567,13424.321,67.832
,2.619,13426.94,139.888
,2.708,13429.648,241.198
,2.8,13432.448,87.822
,2.842,13435.29,59.219
,2.842,13438.132,49.888
,2.822,13440.954,49.207
,2.808,13443.762,51.207
,2.828,13446.59,51.918
,2.85,13449.44,48.705
,2.9,13452.34,53.918
,2.944,13455.284,55.935
,2.992,13458.276,55.972
,3.028,13461.304,58.774
,3.089,13464.393,67.076
,3.156,13467.549,69.05
,3.219,13470.768,71.875
,3.278,13474.046,86.236
,3.336,13477.382,96.967
,3.403,13480.785,113.492
,3.472,13484.257,153.623
,3.539,13487.796,223.97
,3.597,13491.393,338.221
,3.661,13495.054,803.726
,3.731,13498.785,0
,3.792,13502.577,915.949
,3.847,13506.424,628.658
,3.908,13510.332,502.288
,3.978,13514.31,460.833
,4.047,13518.357,491.096
,4.111,13522.468,506.723
,4.178,13526.646,539.148
,4.242,13530.888,591.619
,4.308,13535.196,727.74
,4.372,13539.568,847.242
,4.433,13544.001,954.053
,4.494,13548.495,1143.959
,4.558,13553.053,1245.932
,4.617,13557.67,1357.901
,4.669,13562.339,1481.734
,4.714,13567.053,1510.075
,4.756,13571.809,1773.332
,4.803,13576.612,1959.452
,105.844,13682.456,0
,5.733,13688.189,1763.566
,5.769,13693.958,1475.269
,5.797,13699.755,1105.119
,5.814,13705.569,650.113
,5.828,13711.397,443.856
,5.833,13717.23,327.234
,5.833,13723.063,249.546
,5.797,13728.86,207.628
,5.708,13734.568,184.534
,5.583,13740.151,165.507
,5.458,13745.609,149.608
,5.333,13750.942,144.977
,5.203,13756.145,139.359
,5.097,13761.242,132.424
,4.975,13766.217,115.205
,4.886,13771.103,105.811
,4.8,13775.903,98.682
,4.711,13780.614,90.498
,4.633,13785.247,85.483
,4.575,13789.822,91.18
,4.533,13794.355,98.817
,4.475,13798.83,95.838
,4.428,13803.258,90.022
,4.414,13807.672,91.943
,4.381,13812.053,87.326
,4.331,13816.384,82.401
,4.294,13820.678,81.383
,4.3,13824.978,85.286
,4.333,13829.311,85.073
,4.381,13833.692,84.314
,4.417,13838.109,86.833
,4.447,13842.556,85.791
,4.478,13847.034,88.48
,4.508,13851.542,88.165
,4.542,13856.084,91.418
,4.564,13860.648,88.469
,4.603,13865.251,90.739
,4.647,13869.898,92.5
,4.697,13874.595,99.08
,4.733,13879.328,105.246
,4.764,13884.092,119.866
,4.811,13888.903,139.616
,4.858,13893.761,161.48
,4.908,13898.669,184.649
,4.95,13903.619,211.67
,4.992,13908.611,244.224
,5.028,13913.639,303.155
,5.058,13918.697,389.288
,5.092,13923.789,562.281
,5.142,13928.931,929.268
,5.2,13934.131,1722.732
,10.517,13944.648,0
,5.314,13949.962,1799.02
,5.356,13955.318,1218.229
,5.394,13960.712,1022.884
,5.433,13966.145,911.905
,5.475,13971.62,898.712
,5.519,13977.139,1070.838
,5.561,13982.7,1313.539
,5.603,13988.303,1684.163
,75.011,14063.314,0
,5.386,14068.7,1971.471
,5.2,14073.9,1148.488
,5.019,14078.919,546.442
,4.875,14083.794,327.377
,4.725,14088.519,214.698
,4.631,14093.15,161.906
,4.514,14097.664,131.455
,4.425,14102.089,114.712
,4.35,14106.439,102.601
,4.3,14110.739,98.681
,4.261,14115,89.414
,4.231,14119.231,82.928
,4.2,14123.431,78.867
,4.175,14127.606,77.931
,4.153,14131.759,78.832
,4.133,14135.892,73.174
,4.139,14140.031,75.923
,4.158,14144.189,75.977
,4.181,14148.37,76.462
,4.197,14152.567,75.138
,4.236,14156.803,85.478
,4.272,14161.075,88.177
,4.317,14165.392,96.419
,4.356,14169.748,105.099
,4.394,14174.142,120.768
,4.447,14178.589,138.088
,4.506,14183.095,142.712
,4.55,14187.645,180.372
,4.586,14192.231,196.695
,4.622,14196.853,209.411
,4.664,14201.517,254.864
,4.722,14206.239,420.95
,4.778,14211.017,541.146
,4.831,14215.848,1251.906
,207.625,14423.473,0
,6.242,14429.715,1985.647
,6.267,14435.982,1601.269
,6.294,14442.276,1346.246
,6.319,14448.595,1197.319
,6.347,14454.942,1140.764
,6.372,14461.314,1118.693
,6.4,14467.714,1128.468
,6.425,14474.139,1202.29
,6.453,14480.592,1248.376
,6.478,14487.07,1156.063
,6.503,14493.573,1105.259
,6.525,14500.098,1058.542
,6.547,14506.645,949.921
,6.569,14513.214,936.031
,6.594,14519.808,963.673
,6.617,14526.425,1014.278
,6.636,14533.061,1020.248
,6.653,14539.714,1074.206
,6.664,14546.378,1131.687
,6.681,14553.059,1166.518
,6.697,14559.756,1115.158
,6.717,14566.473,1121.643
,6.736,14573.209,1156.35
,6.753,14579.962,1191.877
,6.772,14586.734,1263.548
,6.792,14593.526,1516.778
,6.811,14600.337,1818.836
,532.419,15132.756,0
,5.436,15138.192,1369.257
,5.264,15143.456,807.005
,5.114,15148.57,579.53
,5,15153.57,411.035
,4.886,15158.456,282.982
,4.756,15163.212,205.833
,4.622,15167.834,154.459
,4.456,15172.29,124.916
,4.225,15176.515,100.532
,4.122,15180.637,91.168
,4.153,15184.79,91.56
,4.231,15189.021,94.042
,4.214,15193.235,90.054
,4.169,15197.404,89.5
,4.125,15201.529,96.362
,4.086,15205.615,91.998
,4.061,15209.676,97.744
,4.042,15213.718,95.698
,4.061,15217.779,98.894
,4.103,15221.882,90.309
,4.15,15226.032,94.898
,4.183,15230.215,95.91
,4.233,15234.448,104.99
,4.289,15238.737,116.465
,4.353,15243.09,165.074
,4.422,15247.512,332.247
,4.497,15252.009,0
,4.558,15256.567,306.969
,4.617,15261.184,172.432
,4.667,15265.851,137.886
,4.717,15270.568,122.583
,4.758,15275.326,117.756
,4.797,15280.123,123.469
,4.817,15284.94,111.555
,4.858,15289.798,119.704
,4.886,15294.684,115.339
,4.917,15299.601,112.52
,4.942,15304.543,105.928
,5,15309.543,113.769
,5.028,15314.571,108.27
,5.056,15319.627,112.3
,5.089,15324.716,113.786
,5.131,15329.847,118.728
,5.169,15335.016,124.957
,5.206,15340.222,140.932
,5.239,15345.461,190.323
,5.269,15350.73,358.289
,5.297,15356.027,0
,5.328,15361.355,490.423
,5.358,15366.713,241.883
,5.394,15372.107,187.745
,5.417,15377.524,160.799
,5.456,15382.98,154.008
,5.478,15388.458,139.668
,5.497,15393.955,142.615
,5.511,15399.466,136.994
,5.547,15405.013,139.412
,5.581,15410.594,142.358
,5.603,15416.197,157.631
,5.631,15421.828,164.884
,5.661,15427.489,180.491
,5.697,15433.186,199.319
,5.725,15438.911,214.169
,5.753,15444.664,231.065
,5.789,15450.453,258.79
,5.822,15456.275,287.957
,5.858,15462.133,353.382
,5.892,15468.025,436.84
,5.922,15473.947,525.765
,5.95,15479.897,707.611
,5.978,15485.875,984.484
,6.008,15491.883,1314.259
,809.319,16301.202,0
,6.919,16308.121,1435.471
,6.711,16314.832,936.966
,6.533,16321.365,630.596
,6.356,16327.721,420.157
,6.2,16333.921,310.988
,6.042,16339.963,248.058
,5.886,16345.849,202.973
,5.739,16351.588,177.633
,5.594,16357.182,157.162
,5.486,16362.668,144.039
,5.369,16368.037,132.384
,5.256,16373.293,122.417
,5.147,16378.44,115.415
,5.042,16383.482,109.328
,4.961,16388.443,107.679
,4.861,16393.304,101.637
,4.767,16398.071,97.316
,4.664,16402.735,92.388
,4.583,16407.318,92.301
,4.522,16411.84,89.088
,4.464,16416.304,87.932
,4.411,16420.715,85.865
,4.364,16425.079,85.517
,4.325,16429.404,84
,4.306,16433.71,83.246
,4.294,16438.004,84.682
,4.292,16442.296,86.922
,4.289,16446.585,85.231
,4.308,16450.893,86.795
,4.339,16455.232,88.03
,4.369,16459.601,88.063
,4.394,16463.995,88.672
,4.414,16468.409,88.66
,4.433,16472.842,89.442
,4.456,16477.298,91.155
,4.464,16481.762,89.877
,4.475,16486.237,91.132
,4.492,16490.729,91.812
,4.517,16495.246,93.673
,4.561,16499.807,92.606
,4.608,16504.415,96.643
,4.664,16509.079,98.987
,4.711,16513.79,105.23
,4.75,16518.54,107.979
,4.789,16523.329,118.069
,4.836,16528.165,124.822
,4.881,16533.046,132.684
,4.925,16537.971,139.692
,4.969,16542.94,148.08
,5.011,16547.951,152.367
,5.058,16553.009,160.014
,5.103,16558.112,165.892
,5.144,16563.256,170.746
,5.183,16568.439,176.692
,5.225,16573.664,179.544
,5.267,16578.931,181.25
,5.308,16584.239,182.956
,5.35,16589.589,185.84
,5.389,16594.978,183.867
,5.431,16600.409,186.721
,5.469,16605.878,190.589
,5.506,16611.384,190.73
,5.542,16616.926,192.054
,5.581,16622.507,195.962
,5.619,16628.126,201.186
,5.653,16633.779,203.58
,5.681,16639.46,210.857
,5.7,16645.16,215.06
,5.725,16650.885,222.736
,5.756,16656.641,231.288
,5.789,16662.43,238.883
,5.819,16668.249,243.112
,5.85,16674.099,254.637
,5.883,16679.982,265.293
,5.911,16685.893,271.893
,5.939,16691.832,283.099
,5.972,16697.804,293.212
,5.997,16703.801,298.075
,6.025,16709.826,303.309
,6.056,16715.882,314.117
,6.086,16721.968,325.501
,6.111,16728.079,336.894
,6.139,16734.218,349.235
,6.167,16740.385,362.283
,6.194,16746.579,372.517
,6.222,16752.801,390.752
,6.247,16759.048,418.776
,6.272,16765.32,466.311
,6.297,16771.617,524.975
,6.325,16777.942,647.309
,6.35,16784.292,761.175
,6.375,16790.667,963.436
,6.397,16797.064,1191.916
,6.425,16803.489,1618.467
,6.45,16809.939,1843.837
,65.803,16875.742,0
,6.686,16882.428,1898.746
,6.697,16889.125,1905.062
,33.739,16922.864,0
,6.8,16929.664,1812.907
,6.819,16936.483,1693.055
,6.836,16943.319,1701.34
,6.85,16950.169,1771.529
,6.867,16957.036,1922.573
,20.7,16977.736,0
,6.933,16984.669,1960.086
,280.697,17265.366,0
,639.158,17904.524,0
,3.869,17908.393,1526.259
,3.714,17912.107,1004.294
,3.561,17915.668,807.945
,3.411,17919.079,741.315
,3.278,17922.357,644.23
,3.147,17925.504,480.802
,3.039,17928.543,313.79
,2.936,17931.479,191.037
,2.853,17934.332,127.63
,2.758,17937.09,91.244
,2.678,17939.768,68.956
,2.592,17942.36,55.665
,2.514,17944.874,48.075
,2.428,17947.302,42.916
,2.356,17949.658,39.832
,2.283,17951.941,35.909
,2.211,17954.152,33.448
,2.136,17956.288,31.217
,2.075,17958.363,26.125
,2.031,17960.394,24.579
,2.019,17962.413,29.276
,2.003,17964.416,25.24
,1.958,17966.374,24.743
,1.917,17968.291,26.941
,1.9,17970.191,24.697
,1.908,17972.099,23.202
,1.931,17974.03,29.915
,1.964,17975.994,41.385
,1.992,17977.986,91.899
,2.014,17980,165.372
,2.028,17982.028,59.036
,2.025,17984.053,34.263
,2.011,17986.064,28.239
,1.989,17988.053,25.683
,1.958,17990.011,25.06
,1.925,17991.936,23.462
,1.892,17993.828,23.998
,1.864,17995.692,22.848
,1.842,17997.534,24.521
,1.825,17999.359,22.634
,1.825,18001.184,24.425
,1.833,18003.017,22.995
,1.856,18004.873,25.25
,1.878,18006.751,24.619
,1.914,18008.665,26.863
,1.958,18010.623,26.776
,2.014,18012.637,30.399
,2.058,18014.695,34.276
,2.106,18016.801,37.977
,2.172,18018.973,40.083
,2.247,18021.22,45.963
,2.319,18023.539,57.727
,2.394,18025.933,61.52
,2.503,18028.436,74.247
,2.608,18031.044,110.082
,2.697,18033.741,154.498
,2.781,18036.522,183.284
,2.872,18039.394,233.596
,2.972,18042.366,360.208
,3.061,18045.427,502.731
,3.153,18048.58,1125.836
,3.242,18051.822,0
,3.336,18055.158,1890.866
,3.422,18058.58,1193.844
,3.508,18062.088,896.199
,3.592,18065.68,939.28
,3.672,18069.352,808.612
,3.744,18073.096,752.233
,3.806,18076.902,671.034
,3.867,18080.769,564.47
,3.922,18084.691,475.205
,3.989,18088.68,450.539
,4.058,18092.738,441.817
,4.122,18096.86,455.838
,4.183,18101.043,482.141
,4.244,18105.287,496.331
,4.308,18109.595,473.031
,4.367,18113.962,431.935
,4.428,18118.39,399.699
,4.489,18122.879,366.793
,4.547,18127.426,369.784
,4.603,18132.029,385.641
,4.661,18136.69,410.125
,4.719,18141.409,428.388
,4.772,18146.181,438.023
,4.817,18150.998,437.956
,4.856,18155.854,407.34
,4.897,18160.751,400.775
,4.942,18165.693,401.501
,4.986,18170.679,415.456
,5.033,18175.712,437.714
,5.078,18180.79,469.343
,5.122,18185.912,495.284
,5.167,18191.079,533.558
,5.211,18196.29,576.701
,5.256,18201.546,599.06
,5.297,18206.843,608.597
,5.339,18212.182,581.116
,5.381,18217.563,556.813
,5.422,18222.985,554.999
,5.467,18228.452,574.778
,5.508,18233.96,606.459
,5.544,18239.504,652.839
,5.586,18245.09,691.5
,5.625,18250.715,701.162
,5.664,18256.379,641.195
,5.703,18262.082,625.501
,5.739,18267.821,610.413
,5.772,18273.593,628.96
,5.794,18279.387,611.176
,5.808,18285.195,625.275
,5.828,18291.023,629.469
,5.858,18296.881,603.186
,5.892,18302.773,570.71
,5.922,18308.695,510.743
,5.953,18314.648,475.288
,5.983,18320.631,439.683
,6.017,18326.648,419.334
,6.047,18332.695,405.187
,6.075,18338.77,404.521
,6.106,18344.876,391.751
,6.133,18351.009,383.464
,6.164,18357.173,368.851
,6.189,18363.362,351.749
,6.217,18369.579,342.569
,6.247,18375.826,340.031
,6.269,18382.095,339.553
,6.294,18388.389,336.562
,6.322,18394.711,342.392
,6.347,18401.058,348.03
,6.375,18407.433,336.811
,6.394,18413.827,325.632
,6.422,18420.249,313.759
,6.447,18426.696,307.042
,6.469,18433.165,290.234
,6.494,18439.659,284.733
,6.517,18446.176,286.685
,6.539,18452.715,294.495
,6.558,18459.273,290.363
,6.581,18465.854,300.289
,6.603,18472.457,315.185
,6.622,18479.079,321.606
,6.636,18485.715,327.671
,6.661,18492.376,330.144
,6.672,18499.048,336.154
,6.686,18505.734,325.499
,6.7,18512.434,313.421
,6.711,18519.145,306.076
,6.733,18525.878,308.106
,6.747,18532.625,313.559
,6.758,18539.383,332.569
,6.778,18546.161,346.874
,6.794,18552.955,359.226
,6.814,18559.769,369.752
,6.828,18566.597,368.383
,6.842,18573.439,364.237
,6.861,18580.3,366.31
,6.872,18587.172,364.713
,6.889,18594.061,369.282
,6.903,18600.964,373.625
,6.919,18607.883,375.431
,6.933,18614.816,382.829
,6.95,18621.766,387.701
,6.961,18628.727,382.912
,6.975,18635.702,375.704
,6.989,18642.691,383.005
,7.003,18649.694,390.537
,7.014,18656.708,397.996
,7.028,18663.736,409.319
,7.042,18670.778,424.752
,7.053,18677.831,433.377
,7.064,18684.895,442.304
,7.078,18691.973,455.939
,7.089,18699.062,478.744
,7.1,18706.162,494.099
,7.114,18713.276,496.034
,7.122,18720.398,492.462
,7.133,18727.531,494
,7.15,18734.681,501.083
,7.161,18741.842,507.522
,7.169,18749.011,540.17
,7.181,18756.192,583.989
,7.186,18763.378,634.221
,7.2,18770.578,686.286
,7.211,18777.789,736.212
,7.222,18785.011,770.59
,7.231,18792.242,845.929
,7.242,18799.484,937.85
,7.256,18806.74,1095.157
,7.264,18814.004,1344.65
,7.272,18821.276,1633.621
,283.808,19105.084,0
,4.297,19109.381,1568.648
,4.139,19113.52,1247.299
,3.983,19117.503,851.277
,3.839,19121.342,600.9
,3.706,19125.048,399.917
,3.575,19128.623,245.814
,3.436,19132.059,182.357
,3.297,19135.356,116.655
,3.119,19138.475,86.256
,2.925,19141.4,66.575
,2.733,19144.133,55.187
,2.419,19146.552,40.048
,2.344,19148.896,36.382
,2.475,19151.371,41.081
,2.586,19153.957,43.424
,2.594,19156.551,43.427
,2.581,19159.132,43.795
,2.586,19161.718,44.852
,2.553,19164.271,43.993
,2.525,19166.796,41.93
,2.511,19169.307,43.727
,2.511,19171.818,39.924
