Section Length,Cumulative Length,Radius
13.788,6731.391,270.072
15.253,6746.644,279.827
16.41,6763.054,419.075
190.557,6953.611,0
141.39,7095.001,0
15.447,7110.448,1985.618
29.192,7139.64,0
13.857,7153.497,1449.88
12.939,7166.436,1264.128
11.001,7177.437,850.86
8.564,7186.001,36.073
7.024,7193.025,15.25
6.597,7199.622,22.267
6.324,7205.946,17.291
7.206,7213.152,18.505
8.424,7221.576,23.892
10,7231.576,57.51
11.864,7243.44,78.834
13.281,7256.721,69.889
14.782,7271.503,158.251
16.375,7287.878,400.489
17.626,7305.504,1362.181
18.899,7324.403,822.768
20.118,7344.521,657.49
21.156,7365.677,712.853
21.994,7387.671,1153.509
22.951,7410.622,0
23.875,7434.497,1066.157
24.756,7459.253,476.876
25.519,7484.772,442.57
26.168,7510.94,502.18
26.801,7537.741,413.104
27.404,7565.145,368.488
27.999,7593.144,480.665
178.76,7771.904,0
29.661,7801.565,1784.719
29.113,7830.678,928.981
28.49,7859.168,335.666
27.775,7886.943,513.143
27.032,7913.975,782.025
26.119,7940.094,173.318
24.925,7965.019,114.882
24.333,7989.352,242.889
24.283,8013.635,277.966
24.365,8038,350.313
24.722,8062.722,1993.682
25.096,8087.818,177.716
25.413,8113.231,251.261
25.971,8139.202,725.644
26.528,8165.73,896.691
26.989,8192.719,948.892
27.369,8220.088,1715.943
27.774,8247.862,0
28.161,8276.023,1456.591
28.532,8304.555,1152.554
28.893,8333.448,1215.682
29.249,8362.697,979.832
29.59,8392.287,674.891
29.913,8422.2,565.636
30.21,8452.41,869.442
30.494,8482.904,881.788
30.775,8513.679,1394.143
655.429,9169.108,0
14.596,9183.704,417.624
14.042,9197.746,66.278
13.46,9211.206,57.263
13.51,9224.716,62.171
14.313,9239.029,63.663
14.947,9253.976,88.018
15.647,9269.623,364.347
15.904,9285.527,80.324
16.06,9301.587,79.489
16.858,9318.445,76.897
17.314,9335.759,109.624
17.606,9353.365,110.186
18.078,9371.443,105.925
17.733,9389.176,175.65
16.585,9405.761,108.991
15.979,9421.74,68.54
15.4,9437.14,68.778
15.861,9453.001,98.256
16.517,9469.518,77.731
17.254,9486.772,105.281
18.183,9504.955,174.857
19.106,9524.061,148.54
20.113,9544.174,442.195
21.203,9565.377,964.768
22.075,9587.452,1540.291
166.918,9754.37,0
17.49,9771.86,712.765
15.201,9787.061,130.503
14.315,9801.376,49.384
13.872,9815.248,46.734
13.736,9828.984,49.159
14.228,9843.212,51.267
14.653,9857.865,51.256
15.086,9872.951,54.047
15.524,9888.475,56.052
15.692,9904.167,53.661
15.793,9919.96,56.848
16.192,9936.152,63.291
16.957,9953.109,100.293
17.846,9970.955,117.517
19.036,9989.991,803.026
19.525,10009.516,658.66
17.557,10027.073,553.685
16.263,10043.336,153.832
15.903,10059.239,92.816
15.542,10074.781,72.793
15.758,10090.539,70.315
16.4,10106.939,75.373
17.326,10124.265,88.19
18.381,10142.646,111.996
19.46,10162.106,127.82
20.588,10182.694,803.822
21.761,10204.455,398.118
22.671,10227.126,673.854
23.624,10250.75,1025.016
24.549,10275.299,1175.706
25.439,10300.738,1127.642
26.288,10327.026,1169.156
26.926,10353.952,1356.097
27.606,10381.558,1237.97
28.263,10409.821,1819.53
109.867,10519.688,0
22.336,10542.024,1312.425
21.613,10563.637,174.733
21.543,10585.18,135.459
21.956,10607.136,142.533
22.483,10629.619,148.179
23.021,10652.64,147.602
23.465,10676.105,131.141
23.378,10699.483,114.749
22.725,10722.208,118.365
22.06,10744.268,114.629
22.35,10766.618,384.3
22.924,10789.542,244.041
23.514,10813.056,262.45
24.025,10837.081,173.563
24.444,10861.525,158.828
24.851,10886.376,172.835
25.246,10911.622,215.309
25.646,10937.268,212.503
25.982,10963.25,195.493
26.306,10989.556,268.718
26.906,11016.462,0
27.407,11043.869,1196.389
27.939,11071.808,837.579
28.438,11100.246,1345.884
83.054,11183.3,0
21.553,11204.853,1821.227
17.901,11222.754,854.03
15.099,11237.853,279.139
14.693,11252.546,95.577
14.985,11267.531,85.248
15.792,11283.323,79.689
16.501,11299.824,78.41
17.103,11316.927,89.541
17.008,11333.935,73.173
17.075,11351.01,81.481
17.626,11368.636,139.365
18.447,11387.083,313.22
19.169,11406.252,130.631
19.574,11425.826,99.629
19.611,11445.437,89.304
19.771,11465.208,89.742
20.04,11485.248,91.229
20.332,11505.58,98.919
20.729,11526.309,117.985
21.279,11547.588,161.955
22.051,11569.639,436.724
22.919,11592.558,863.669
23.7,11616.258,555.892
23.339,11639.597,584.477
22.421,11662.018,761.978
20.222,11682.24,307.645
17.682,11699.922,98.594
16.993,11716.915,80.261
16.593,11733.508,68.959
16.947,11750.455,71.191
17.369,11767.824,70.577
17.892,11785.716,81.782
18.458,11804.174,93.867
19.129,11823.303,291.416
20.171,11843.474,987.482
21.263,11864.737,1018.453
22.083,11886.82,234.214
22.893,11909.713,195.157
23.603,11933.316,144.041
24.113,11957.429,129.83
24.538,11981.967,134.964
24.325,12006.292,115.438
23.558,12029.85,118.109
23.817,12053.667,155.227
24.332,12077.999,285.348
24.996,12102.995,682.995
25.604,12128.599,1086.619
26.054,12154.653,617.828
26.524,12181.177,562.453
26.979,12208.156,613.201
27.418,12235.574,619.24
27.84,12263.414,633.341
28.251,12291.665,594.954
28.651,12320.316,635.143
29.039,12349.355,527.355
29.41,12378.765,520.167
29.768,12408.533,468.638
30.118,12438.651,672.484
61.032,12499.683,0
30.89,12530.573,1818.113
31.131,12561.704,940.839
31.357,12593.061,622.548
31.568,12624.629,487.8
31.747,12656.376,356.429
31.91,12688.286,366.12
32.033,12720.319,280.431
32.124,12752.443,300.546
32.235,12784.678,515.427
31.585,12816.263,696.518
62.154,12878.417,0
30.918,12909.335,425.985
30.769,12940.104,244.793
30.547,12970.651,206.896
30.29,13000.941,195.459
30.226,13031.167,230.527
30.394,13061.561,294.746
30.604,13092.165,395.754
30.865,13123.03,1773.729
31.131,13154.161,846.151
31.361,13185.522,566.423
31.569,13217.091,555.914
31.774,13248.865,977.782
31.974,13280.839,1957.018
32.158,13312.997,1297.462
32.321,13345.318,794.678
31.839,13377.157,1057.134
143.006,13520.163,0
11.988,13532.151,284.434
11.436,13543.587,34.946
10.764,13554.351,29.198
10.425,13564.776,39.851
10.765,13575.541,38.387
10.486,13586.027,28.907
9.996,13596.023,50.297
9.571,13605.594,33.289
9.494,13615.088,27.74
10.486,13625.574,30.563
10.831,13636.405,26.469
10.846,13647.251,35.955
11.556,13658.807,46.063
12.407,13671.214,52.392
13.788,13685.002,270.072
15.253,13700.255,279.827
16.41,13716.665,419.075
190.557,13907.222,0
15.4,13922.622,68.778
15.861,13938.483,98.256
16.517,13955,77.731
17.254,13972.254,105.281
18.183,13990.437,174.857
19.106,14009.543,148.54
20.113,14029.656,442.195
21.203,14050.859,964.768
22.075,14072.934,1540.291
166.918,14239.852,0
17.49,14257.342,712.765
15.201,14272.543,130.503
14.315,14286.858,49.384
13.872,14300.73,46.734
13.736,14314.466,49.159
14.228,14328.694,51.267
14.653,14343.347,51.256
15.086,14358.433,54.047
15.524,14373.957,56.052
15.692,14389.649,53.661
15.793,14405.442,56.848
16.192,14421.634,63.291
16.957,14438.591,100.293
17.846,14456.437,117.517
19.036,14475.473,803.026
19.525,14494.998,658.66
17.557,14512.555,553.685
16.263,14528.818,153.832
15.903,14544.721,92.816
15.542,14560.263,72.793
15.758,14576.021,70.315
16.4,14592.421,75.373
17.326,14609.747,88.19
18.381,14628.128,111.996
19.46,14647.588,127.82
20.588,14668.176,803.822
21.761,14689.937,398.118
22.671,14712.608,673.854
23.624,14736.232,1025.016
24.549,14760.781,1175.706
25.439,14786.22,1127.642
26.288,14812.508,1169.156
26.926,14839.434,1356.097
27.606,14867.04,1237.97
28.263,14895.303,1819.53
109.867,15005.17,0
22.336,15027.506,1312.425
21.613,15049.119,174.733
21.543,15070.662,135.459
21.956,15092.618,142.533
22.483,15115.101,148.179
23.021,15138.122,147.602
23.465,15161.587,131.141
23.378,15184.965,114.749
22.725,15207.69,118.365
22.06,15229.75,114.629
22.35,15252.1,384.3
22.924,15275.024,244.041
23.514,15298.538,262.45
24.025,15322.563,173.563
24.444,15347.007,158.828
24.851,15371.858,172.835
25.246,15397.104,215.309
25.646,15422.75,212.503
25.982,15448.732,195.493
26.306,15475.038,268.718
26.906,15501.944,0
27.407,15529.351,1196.389
27.939,15557.29,837.579
28.438,15585.728,1345.884
83.054,15668.782,0
21.553,15690.335,1821.227
17.901,15708.236,854.03
15.099,15723.335,279.139
14.693,15738.028,95.577
14.985,15753.013,85.248
15.792,15768.805,79.689
16.501,15785.306,78.41
17.103,15802.409,89.541
17.008,15819.417,73.173
17.075,15836.492,81.481
17.626,15854.118,139.365
18.447,15872.565,313.22
19.169,15891.734,130.631
19.574,15911.308,99.629
19.611,15930.919,89.304
19.771,15950.69,89.742
20.04,15970.73,91.229
20.332,15991.062,98.919
20.729,16011.791,117.985
21.279,16033.07,161.955
22.051,16055.121,436.724
22.919,16078.04,863.669
23.7,16101.74,555.892
23.339,16125.079,584.477
22.421,16147.5,761.978
20.222,16167.722,307.645
17.682,16185.404,98.594
16.993,16202.397,80.261
16.593,16218.99,68.959
16.947,16235.937,71.191
17.369,16253.306,70.577
17.892,16271.198,81.782
18.458,16289.656,93.867
19.129,16308.785,291.416
20.171,16328.956,987.482
21.263,16350.219,1018.453
22.083,16372.302,234.214
22.893,16395.195,195.157
23.603,16418.798,144.041
24.113,16442.911,129.83
24.538,16467.449,134.964
24.325,16491.774,115.438
23.558,16515.332,118.109
23.817,16539.149,155.227
24.332,16563.481,285.348
24.996,16588.477,682.995
25.604,16614.081,1086.619
26.054,16640.135,617.828
26.524,16666.659,562.453
26.979,16693.638,613.201
27.418,16721.056,619.24
27.84,16748.896,633.341
28.251,16777.147,594.954
28.651,16805.798,635.143
29.039,16834.837,527.355
29.41,16864.247,520.167
29.768,16894.015,468.638
30.118,16924.133,672.484
61.032,16985.165,0
30.89,17016.055,1818.113
31.131,17047.186,940.839
31.357,17078.543,622.548
31.568,17110.111,487.8
31.747,17141.858,356.429
31.91,17173.768,366.12
32.033,17205.801,280.431
32.124,17237.925,300.546
32.235,17270.16,515.427
31.585,17301.745,696.518
62.154,17363.899,0
30.918,17394.817,425.985
30.769,17425.586,244.793
30.547,17456.133,206.896
30.29,17486.423,195.459
30.226,17516.649,230.527
30.394,17547.043,294.746
30.604,17577.647,395.754
30.865,17608.512,1773.729
31.131,17639.643,846.151
31.361,17671.004,566.423
31.569,17702.573,555.914
31.774,17734.347,977.782
31.974,17766.321,1957.018
32.158,17798.479,1297.462
32.321,17830.8,794.678
31.839,17862.639,1057.134
143.006,18005.645,0
11.988,18017.633,284.434
11.436,18029.069,34.946
10.764,18039.833,29.198
10.425,18050.258,39.851
10.765,18061.023,38.387
10.486,18071.509,28.907
9.996,18081.505,50.297
9.571,18091.076,33.289
9.494,18100.57,27.74
10.486,18111.056,30.563
10.831,18121.887,26.469
10.846,18132.733,35.955
11.556,18144.289,46.063
12.407,18156.696,52.392
13.788,18170.484,270.072
15.253,18185.737,279.827
16.41,18202.147,419.075
190.557,18392.704,0
15.4,18408.104,68.778
15.861,18423.965,98.256
16.517,18440.482,77.731
17.254,18457.736,105.281
18.183,18475.919,174.857
19.106,18495.025,148.54
20.113,18515.138,442.195
21.203,18536.341,964.768
22.075,18558.416,1540.291
166.918,18725.334,0
17.49,18742.824,712.765
15.201,18758.025,130.503
14.315,18772.34,49.384
13.872,18786.212,46.734
13.736,18799.948,49.159
14.228,18814.176,51.267
14.653,18828.829,51.256
15.086,18843.915,54.047
15.524,18859.439,56.052
15.692,18875.131,53.661
15.793,18890.924,56.848
16.192,18907.116,63.291
16.957,18924.073,100.293
17.846,18941.919,117.517
19.036,18960.955,803.026
19.525,18980.48,658.66
17.557,18998.037,553.685
16.263,19014.3,153.832
15.903,19030.203,92.816
15.542,19045.745,72.793
15.758,19061.503,70.315
16.4,19077.903,75.373
17.326,19095.229,88.19
18.381,19113.61,111.996
19.46,19133.07,127.82
20.588,19153.658,803.822
