elapsedDistance,brakePosition,engineSpeed,torque
88.5,0.0,2584.154746,100.0
89.0,0.0,2583.492211,100.0
89.5,0.0,2582.862048,100.0
90.0,0.0,2582.262402,100.0
90.5,0.0,2592.898686,100.0
91.0,0.0,2603.468894,100.0
91.5,0.0,2613.973879,100.0
92.0,0.0,2624.414473,100.0
92.5,0.0,2634.791492,100.0
93.0,0.0,2645.105733,100.0
93.5,0.0,2655.357977,100.0
94.0,0.0,2665.548988,100.0
94.5,0.0,2675.679514,100.0
95.0,0.0,2685.750287,100.0
95.5,0.0,2695.762025,100.0
96.0,0.0,2705.71543,100.0
96.5,0.0,2715.611191,100.0
97.0,0.0,2725.449982,100.0
97.5,0.0,2735.232465,100.0
98.0,0.0,2744.959287,100.0
98.5,0.0,2754.631084,100.0
99.0,0.0,2764.248479,100.0
99.5,0.0,2773.812083,100.0
100.0,0.0,2783.322496,100.0
100.5,0.0,2792.780304,100.0
101.0,0.0,2802.186087,100.0
101.5,0.0,2811.540408,100.0
102.0,0.0,2820.843825,100.0
102.5,0.0,2825.684707,100.0
103.0,0.0,2830.469246,100.0
103.5,0.0,2835.197917,100.0
104.0,0.0,2839.871197,100.0
104.5,0.0,2844.489554,100.0
105.0,0.0,2849.053457,100.0
105.5,0.0,2853.563369,100.0
106.0,0.0,2858.019751,100.0
106.5,0.0,2862.423062,100.0
107.0,0.0,2866.773756,100.0
107.5,0.0,2871.072285,100.0
108.0,0.0,2875.319098,100.0
108.5,0.0,2879.514642,100.0
109.0,0.0,2883.65936,100.0
109.5,0.0,2887.753694,100.0
110.0,0.0,2891.798081,100.0
110.5,0.0,2895.792958,100.0
111.0,0.0,2899.738757,100.0
111.5,0.0,2903.635911,100.0
112.0,0.0,2909.975235,100.0
112.5,0.0,2918.758898,100.0
113.0,0.0,2927.497538,100.0
113.5,0.0,2936.191598,100.0
114.0,0.0,2944.841512,100.0
114.5,0.0,2953.447709,100.0
115.0,0.0,2962.010609,100.0
115.5,0.0,2970.530628,100.0
116.0,0.0,2979.008171,100.0
116.5,0.0,2987.443641,100.0
117.0,0.0,2995.837431,100.0
117.5,0.0,3004.189931,100.0
118.0,0.0,3012.501521,100.0
118.5,0.0,3020.772578,100.0
119.0,0.0,3029.003472,100.0
119.5,0.0,3037.194569,100.0
120.0,0.0,3045.346226,100.0
120.5,0.0,3053.458798,100.0
121.0,0.0,3061.532632,100.0
121.5,0.0,3069.568072,100.0
122.0,0.0,3077.565456,100.0
122.5,0.0,3085.525115,100.0
123.0,0.0,3093.447379,100.0
123.5,0.0,3101.332569,100.0
