Elapsed Time,Voltage,Offset SoC
9119.077,4.18978,100.013782
9129.077,4.18978,100.013776
9139.077,4.18978,100.013779
9149.077,4.18978,100.013783
9159.077,4.18978,100.013784
9169.077,4.18978,100.013809
9179.077,4.18978,100.013816
9189.077,4.18978,100.013824
9199.077,4.1901,100.013828
9209.077,4.18978,100.01381
9219.077,4.18978,100.013809
9229.077,4.18978,100.013787
9239.077,4.18978,100.01379
9249.077,4.18946,100.013795
9259.077,4.18978,100.013804
9269.077,4.18978,100.013795
9279.077,4.18978,100.013812
9289.077,4.18946,100.013821
9299.077,4.18978,100.013814
9309.077,4.18978,100.01383
9319.077,4.18946,100.013846
9329.077,4.18946,100.013846
9339.077,4.18946,100.013839
9349.077,4.18946,100.013847
9359.077,4.18946,100.013836
9369.077,4.18946,100.013836
9379.077,4.18946,100.013817
9389.077,4.18946,100.01381
9399.077,4.18946,100.01383
9409.077,4.18946,100.013839
9419.077,4.18946,100.013829
9429.077,4.18946,100.013832
9439.077,4.18946,100.013837
9449.077,4.18946,100.013832
9459.077,4.18946,100.013824
9469.077,4.18946,100.01383
9479.077,4.18913,100.013824
9489.077,4.18946,100.013837
9499.077,4.18946,100.01383
9509.077,4.18946,100.013822
9519.077,4.18913,100.013829
9529.077,4.18946,100.013835
9539.077,4.18946,100.013836
9549.077,4.18946,100.013834
9559.077,4.18946,100.013837
9569.077,4.18913,100.013845
9579.077,4.18913,100.013863
9589.077,4.18913,100.013855
9599.077,4.18913,100.013875
9609.077,4.18913,100.013893
9619.077,4.18913,100.013903
9629.077,4.18913,100.013916
9639.077,4.18913,100.013917
9649.077,4.18913,100.01391
9659.077,4.18913,100.01391
9669.077,4.18913,100.013896
9679.077,4.18913,100.013894
9689.077,4.18913,100.013893
9699.077,4.18913,100.013896
9709.077,4.18913,100.01393
9719.077,4.18913,100.013922
9729.077,4.18881,100.013926
9739.077,4.18913,100.013912
9749.077,4.18913,100.013913
9759.077,4.18913,100.013899
9769.077,4.18913,100.013892
9779.077,4.18913,100.013897
9789.077,4.18913,100.013901
9799.077,4.18913,100.013889
9809.077,3.97243,98.76382
9819.077,3.93491,97.374978
9829.077,3.9113,95.98601
9839.077,3.89513,94.597175
9849.077,3.88349,93.208194
9859.077,3.87443,91.819359
9869.077,3.86602,90.430551
9879.077,3.85793,89.041585
9889.077,3.8492,87.652741
9899.077,3.84015,86.263782
9909.077,3.83077,84.874955
9919.077,3.82074,83.485985
9929.077,3.80942,82.097145
9939.077,3.79907,80.708303
9949.077,3.78904,79.319341
9959.077,3.77934,77.93052
9969.077,3.77028,76.54154
9979.077,3.76155,75.152717
9989.077,3.75314,73.763743
9999.077,3.74506,72.374946
10009.077,3.73762,70.986116
10019.077,3.73018,69.597146
10029.077,3.72371,68.208313
10039.077,3.71692,66.819342
10049.077,3.71045,65.430484
10059.077,3.7043,64.04153
10069.077,3.69783,62.652714
10079.077,3.69201,61.263904
10089.077,3.68619,59.874918
10099.077,3.68037,58.486084
10109.077,3.67455,57.097101
10119.077,3.66905,55.708259
10129.077,3.66387,54.319287
10139.077,3.6587,52.930446
10149.077,3.65352,51.541614
10159.077,3.649,50.152646
10169.077,3.64414,48.763799
10179.077,3.63962,47.374838
10189.077,3.63509,45.986028
10199.077,3.63121,44.597051
10209.077,3.62765,43.208224
10219.077,3.62441,41.819382
10229.077,3.6215,40.430395
10239.077,3.61859,39.041533
10249.077,3.61536,37.652552
10259.077,3.61212,36.263725
10269.077,3.60921,34.874772
10279.077,3.60598,33.48595
10289.077,3.60274,32.097121
10299.077,3.59951,30.708177
10309.077,3.59595,29.319359
10319.077,3.59272,27.9304
10329.077,3.58884,26.541578
10339.077,3.58496,25.152589
10349.077,3.5814,23.763767
10359.077,3.57719,22.374935
10369.077,3.57299,20.985973
10379.077,3.56878,19.597131
10389.077,3.56426,18.208173
10399.077,3.55908,16.819333
10409.077,3.55391,15.430363
10419.077,3.54776,14.041538
10429.077,3.54097,12.652714
10439.077,3.53353,11.263747
10449.077,3.52544,9.874916
10459.077,3.51574,8.485954
10469.077,3.50377,7.097116
10479.077,3.48825,5.708146
10489.077,3.46561,4.319308
10499.077,3.43035,2.930491
10509.077,3.37505,1.541517
10519.077,3.28319,0.152676
10529.077,3.09948,-1.236298
10539.077,3.17258,-1.639083
10549.077,3.21883,-1.639083
10559.077,3.23985,-1.639083
10569.077,3.25279,-1.639083
10579.077,3.26152,-1.639083
10589.077,3.26831,-1.639083
10599.077,3.27349,-1.639083
10609.077,3.27802,-1.639083
10619.077,3.2819,-1.639083
10629.077,3.28545,-1.639083
10639.077,3.28837,-1.639083
10649.077,3.29128,-1.639083
10659.077,3.29354,-1.639083
10669.077,3.2958,-1.639083
10679.077,3.29807,-1.639083
10689.077,3.30001,-1.639083
10699.077,3.30195,-1.639083
10709.077,3.30357,-1.639083
10719.077,3.30518,-1.639083
10729.077,3.3068,-1.639083
10739.077,3.30842,-1.639083
10749.077,3.30971,-1.639083
10759.077,3.31101,-1.639083
10769.077,3.3123,-1.639083
10779.077,3.31359,-1.639083
10789.077,3.31489,-1.639083
10799.077,3.31586,-1.639083
10809.077,3.31683,-1.639083
10819.077,3.31747,-1.639083
10829.077,3.31877,-1.639083
10839.077,3.31974,-1.639083
10849.077,3.32071,-1.639083
10859.077,3.32136,-1.639083
10869.077,3.32233,-1.639083
10879.077,3.32297,-1.639083
10889.077,3.32394,-1.639083
10899.077,3.32459,-1.639083
10909.077,3.32556,-1.639083
10919.077,3.32621,-1.639083
10929.077,3.32653,-1.639083
10939.077,3.3275,-1.639083
10949.077,3.32782,-1.639083
10959.077,3.32879,-1.639083
10969.077,3.32912,-1.639083
10979.077,3.32976,-1.639083
10989.077,3.33041,-1.639083
10999.077,3.33106,-1.639083
11009.077,3.33138,-1.639083
11019.077,3.33203,-1.639083
11029.077,3.33235,-1.639083
11039.077,3.333,-1.639083
11049.077,3.33332,-1.639083
11059.077,3.33397,-1.639083
11069.077,3.33429,-1.639083
11079.077,3.33462,-1.639083
11089.077,3.33526,-1.639083
11099.077,3.33559,-1.639083
11109.077,3.33591,-1.639083
11119.077,3.33656,-1.639083
11129.077,3.33656,-1.639083
