Segment Length,Cumulative Length,Radius
7.707,3037.885,317.004
7.689,3045.574,315.535
7.671,3053.245,314.069
7.649,3060.894,307.413
7.618,3068.512,301.791
7.586,3076.098,300.852
7.559,3083.657,297.204
7.533,3091.19,293.601
7.519,3098.709,291.079
7.51,3106.219,287.483
7.519,3113.738,286.734
7.519,3121.257,288.168
7.51,3128.767,284.637
7.519,3136.286,292.556
7.519,3143.805,297.08
7.524,3151.329,295.908
7.542,3158.871,298.849
7.551,3166.422,301.11
7.559,3173.981,300.268
7.573,3181.554,304.473
7.573,3189.127,306.067
7.577,3196.704,311.319
7.586,3204.29,315.409
7.6,3211.89,308.239
7.613,3219.503,310.956
7.622,3227.125,316.687
7.64,3234.765,316.483
7.649,3242.414,318.92
7.658,3250.072,326.654
7.671,3257.743,333.262
7.685,3265.428,334.428
7.694,3273.122,335.207
7.711,3280.833,340.551
7.72,3288.553,339.434
7.734,3296.287,342.528
7.743,3304.03,343.32
7.756,3311.786,354.468
7.765,3319.551,363.694
7.77,3327.321,379.847
7.778,3335.099,411.179
7.792,3342.891,442.069
7.805,3350.696,470.477
7.828,3358.524,503.703
7.846,3366.37,536.281
7.854,3374.224,561.499
7.854,3382.078,635.232
7.863,3389.941,716.263
7.872,3397.813,842.328
7.881,3405.694,1055.303
7.899,3413.593,1298.078
7.917,3421.51,1558.393
7.926,3429.436,1940.561
616.745,4046.181,0
196.148,4242.329,0
8.918,4251.247,1842.71
8.825,4260.072,1301.332
8.713,4268.785,979.536
8.641,4277.426,792.896
8.57,4285.996,712.982
8.503,4294.499,669.965
8.427,4302.926,634.953
8.351,4311.277,623.552
8.279,4319.556,646.967
8.226,4327.782,669.61
8.167,4335.949,660.182
8.118,4344.067,645.985
8.06,4352.127,591.285
8.015,4360.142,532.45
7.966,4368.108,472.192
7.917,4376.025,423.14
7.872,4383.897,389.967
7.828,4391.725,374.007
7.783,4399.508,350.84
7.738,4407.246,333.555
7.707,4414.953,329.064
7.662,4422.615,328.832
7.609,4430.224,312.235
7.573,4437.797,306.067
7.542,4445.339,305.141
7.51,4452.849,299.462
7.475,4460.324,293.558
7.461,4467.785,300.244
7.47,4475.255,304.183
7.488,4482.743,302.407
7.483,4490.226,298.883
7.475,4497.701,289.088
7.461,4505.162,274.136
7.457,4512.619,280.585
7.452,4520.071,288.828
7.448,4527.519,289.961
7.457,4534.976,293.669
7.461,4542.437,305.087
7.461,4549.898,303.455
7.466,4557.364,294.374
7.461,4564.825,292.506
7.452,4572.277,294.845
