Elapsed Time,Voltage,Adjusted SOC
9919.677,3.60371,65.833359
9929.677,3.5953,63.055427
9939.677,3.58754,60.277759
9949.677,3.57978,57.499812
9959.677,3.57234,54.722175
9969.677,3.56458,51.944216
9979.677,3.55714,49.166305
9989.677,3.5497,46.388652
9999.677,3.54161,43.610739
10009.677,3.53353,40.833085
10019.677,3.52447,38.055157
10029.677,3.51477,35.277516
10039.677,3.5041,32.499853
10049.677,3.49278,29.721925
10059.677,3.48081,26.944272
10069.677,3.46852,24.166337
10079.677,3.45526,21.388393
10089.677,3.44038,18.61047
10099.677,3.42485,15.832802
10109.677,3.40739,13.055161
10119.677,3.38604,10.277215
10129.677,3.35823,7.499556
10139.677,3.31521,4.72161
10149.677,3.22724,1.943959
10159.677,2.95976,-0.83399
10169.677,3.31844,-0.833973
10179.677,3.3592,-0.833973
10189.677,3.37472,-0.833973
10199.677,3.38248,-0.833973
10209.677,3.38734,-0.833973
10219.677,3.39122,-0.833973
10229.677,3.39445,-0.833973
10239.677,3.39736,-0.833973
10249.677,3.39963,-0.833973
10259.677,3.40189,-0.833973
10269.677,3.40416,-0.833973
10279.677,3.4061,-0.833973
10289.677,3.40771,-0.833973
10299.677,3.40965,-0.833973
10309.677,3.41095,-0.833973
10319.677,3.41256,-0.833973
10329.677,3.41418,-0.833973
10339.677,3.41548,-0.833973
10349.677,3.41677,-0.833973
10359.677,3.41806,-0.833973
10369.677,3.41936,-0.833973
10379.677,3.42033,-0.833973
10389.677,3.42162,-0.833973
10399.677,3.42259,-0.833973
10409.677,3.42356,-0.833973
10419.677,3.42453,-0.833973
10429.677,3.4255,-0.833973
10439.677,3.42647,-0.833973
10449.677,3.42712,-0.833973
10459.677,3.42809,-0.833973
10469.677,3.42874,-0.833973
10479.677,3.42971,-0.833973
10489.677,3.43035,-0.833973
10499.677,3.43132,-0.833973
10509.677,3.43165,-0.833973
10519.677,3.43262,-0.833973
10529.677,3.43326,-0.833973
10539.677,3.43391,-0.833973
10549.677,3.43423,-0.833973
10559.677,3.4352,-0.833973
10569.677,3.43553,-0.833973
10579.677,3.43618,-0.833973
10589.677,3.43682,-0.833973
10599.677,3.43715,-0.833973
10609.677,3.43779,-0.833973
10619.677,3.43844,-0.833973
10629.677,3.43909,-0.833973
10639.677,3.43941,-0.833973
10649.677,3.43973,-0.833973
10659.677,3.44038,-0.833973
10669.677,3.4407,-0.833973
10679.677,3.44103,-0.833973
10689.677,3.44167,-0.833973
10699.677,3.442,-0.833973
10709.677,3.44232,-0.833973
10719.677,3.44297,-0.833973
10729.677,3.44329,-0.833973
10739.677,3.44394,-0.833973
10749.677,3.44426,-0.833973
